"species","max_size_tl","diet","position"
"Dentex gibbosus",117.1,"Mobile invertebrate feeder","Bentho-pelagic Reef dwelling"
"Dentex macrophthalmus",65,"Mobile invertebrate feeder","Bentho-pelagic Reef associated"
"Dentex maroccanus",45,"Mobile invertebrate feeder","Bentho-pelagic Reef associated"
"Diagramma pictum",105.5,"Mobile invertebrate feeder","Bentho-pelagic Reef dwelling"
"Diplectrum formosum",30,"Mobile invertebrate feeder","Benthic Reef dwelling"
"Diplodus annularis",24,"Mobile invertebrate feeder","Bentho-pelagic Reef associated"
"Diplodus bellottii",35.8,"Mobile invertebrate feeder","Bentho-pelagic Reef associated"
"Diplodus cadenati",45,"Mobile invertebrate feeder","Bentho-pelagic Reef dwelling"
"Diplodus capensis",45,"Omnivore","Bentho-pelagic Reef associated"
"Diplodus cervinus",55,"Omnivore","Bentho-pelagic Reef associated"
"Diplodus hottentotus",60,"Mobile invertebrate feeder","Bentho-pelagic Reef associated"
"Diplodus puntazzo",60,"Omnivore","Bentho-pelagic Reef associated"
"Diplodus sargus",45,"Mobile invertebrate feeder","Bentho-pelagic Reef dwelling"
"Diplodus vulgaris",45,"Mobile invertebrate feeder","Bentho-pelagic Reef associated"
"Elagatis bipinnulata",125,"Fish-cephalopod feeder","Pelagic Reef associated"
"Enneapterygius atriceps",3.2,"Mobile invertebrate feeder","Benthic Reef dwelling"
"Epinephelides armatus",56,"Mobile invertebrate feeder","Benthic Reef dwelling"
"Epinephelus adscensionis",61,"Mobile invertebrate feeder","Benthic Reef dwelling"
"Epinephelus aeneus",144,"Mobile invertebrate feeder","Benthic Reef dwelling"
"Epinephelus areolatus",47,"Fish-cephalopod feeder","Benthic Reef dwelling"
"Epinephelus caninus",164,"Mobile invertebrate feeder","Benthic Reef dwelling"
"Epinephelus chlorostigma",75,"Fish-cephalopod feeder","Benthic Reef associated"
"Epinephelus coioides",120,"Fish-cephalopod feeder","Benthic Reef associated"
"Epinephelus costae",171.2,"Mobile invertebrate feeder","Benthic Reef dwelling"
"Epinephelus cyanopodus",122,"Fish-cephalopod feeder","Bentho-pelagic Reef dwelling"
"Epinephelus diacanthus",55,"Fish-cephalopod feeder","Benthic Reef associated"
"Epinephelus drummondhayi",110,"Mobile invertebrate feeder","Benthic Reef dwelling"
