"species","max_size_tl","diet","position"
"Zebrasoma scopas",48,"HerDet","BtPlDw"
"Abudefduf sexfasciatus",15,"Plktiv","BtPlAs"
"Abudefduf sordidus",25,"Omnivr","BtPlDw"
"Abudefduf vaigiensis",20,"Plktiv","BtPlDw"
"Acanthurus leucosternon",50,"HerDet","BtPlDw"
"Acanthurus lineatus",40,"HerDet","BtPlDw"
"Acanthurus mata",50,"Plktiv","BtPlDw"
"Acanthurus nigricauda",40,"HerDet","BtPlDw"
"Acanthurus nigrofuscus",20,"HerDet","BtPlDw"
"Acanthurus tennentii",30,"HerDet","BtPlDw"
"Acanthurus triostegus",25,"HerDet","BtPlDw"
"Amblyglyphidodon leucogaster",15,"Plktiv","BtPlDw"
"Anampses caeruleopunctatus",40,"InvMob","BnthDw"
"Anampses meleagrides",20,"InvMob","BnthDw"
"Aphareus furca",70,"FisCep","BtPlDw"
"Apolemichthys trimaculatus",25,"InvSes","BnthDw"
"Aprion virescens",120,"FisCep","PelgAs"
"Arothron meleagris",50,"InvSes","BnthDw"
"Arothron nigropunctatus",35,"InvSes","BnthDw"
"Balistapus undulatus",30,"InvMob","BtPlDw"
"Balistoides viridescens",80,"InvMob","BtPlDw"
"Calotomus carolinus",50,"HerDet","BtPlDw"
"Carangoides ferdau",70,"FisCep","PelgAs"
"Caranx melampygus",120,"FisCep","PelgAs"
"Carcharhinus melanopterus",200,"FisCep","PelgAs"
"Centropyge multispinis",15,"InvSes","BnthDw"
"Cephalopholis nigripinnis",30,"FisCep","BnthDw"
"Cephalopholis spiloparaea",30,"FisCep","BnthDw"
"Cetoscarus bicolor",70,"HerDet","BtPlDw"
"Chaetodon auriga",25,"InvMob","BnthDw"
"Chaetodon falcula",20,"InvSes","BnthDw"
"Chaetodon guttatissimus",10,"InvSes","BnthDw"
"Chaetodon trifascialis",20,"InvSes","BnthDw"
"Chaetodon xanthocephalus",20,"InvSes","BnthDw"
"Chaetodon zanzibarensis",10,"InvSes","BnthDw"
"Cheilinus fasciatus",50,"InvMob","BtPlDw"
"Cheilinus trilobatus",50,"InvMob","BtPlDw"
"Chlorurus capistratoides",40,"HerDet","BtPlDw"
"Chlorurus enneacanthus",50,"HerDet","BtPlDw"
"Chromis atripectoralis",10,"Plktiv","BtPlDw"
"Chromis dimidiata",10,"Plktiv","BtPlDw"
"Chromis viridis",10,"Plktiv","BtPlDw"
"Chromis weberi",15,"Plktiv","BtPlDw"
"Chrysiptera brownriggii",8,"Omnivr","BnthDw"
"Cirrhitichthys oxycephalus",10,"InvMob","BnthDw"
"Ctenochaetus binotatus",20,"HerDet","BtPlDw"
"Ctenochaetus striatus",25,"HerDet","BtPlDw"
"Ctenochaetus truncatus",15,"HerDet","BtPlDw"
"Dascyllus aruanus",10,"Plktiv","BnthDw"
"Epibulus insidiator",70,"FisCep","BnthDw"
"Epinephelus fuscoguttatus",120,"FisCep","BnthDw"
"Epinephelus merra",30,"FisCep","BnthDw"
"Gomphosus caeruleus",30,"InvMob","BtPlDw"
"Halichoeres cosmetus",15,"InvMob","BtPlDw"
"Halichoeres hortulanus",25,"InvMob","BtPlDw"
"Halichoeres marginatus",20,"InvMob","BtPlDw"
"Hemigymnus fasciatus",50,"InvMob","BtPlDw"
"Heniochus monoceros",25,"InvMob","BtPlDw"
"Hipposcarus harid",80,"HerDet","BtPlDw"
"Kyphosus cinerascens",50,"HerMac","PelgDw"
"Labrichthys unilineatus",20,"InvSes","BnthDw"
"Labroides dimidiatus",15,"InvMob","BtPlDw"
"Lethrinus erythracanthus",70,"InvMob","BnthDw"
"Lutjanus bohar",100,"FisCep","BtPlDw"
"Macolor niger",80,"FisCep","PelgAs"
"Melichthys indicus",25,"InvMob","BtPlDw"
"Mulloidichthys flavolineatus",40,"InvMob","BtPlDw"
"Myripristis vittata",25,"InvMob","BtPlDw"
"Naso annulatus",100,"Plktiv","PelgDw"
"Naso brachycentron",100,"HerMac","BtPlDw"
"Naso hexacanthus",80,"Plktiv","PelgDw"
"Naso lituratus",60,"HerMac","BtPlDw"
"Naso unicornis",70,"HerMac","BtPlDw"
"Naso vlamingii",60,"Plktiv","BtPlDw"
"Ostracion meleagris",25,"InvSes","BtPlDw"
"Oxymonacanthus longirostris",10,"InvSes","BnthDw"
"Paracirrhites arcatus",15,"InvMob","BnthDw"
"Paracirrhites forsteri",20,"FisCep","BnthDw"
"Parapercis millepunctata",20,"InvMob","BnthAs"
"Parupeneus bifasciatus",35,"InvMob","BnthDw"
"Platax orbicularis",50,"Omnivr","BtPlAs"
"Plectorhinchus orientalis",80,"InvMob","BtPlDw"
"Plectroglyphidodon dickii",10,"Omnivr","BnthDw"
"Plectroglyphidodon johnstonianus",15,"Omnivr","BnthDw"
"Plectropomus areolatus",80,"FisCep","BnthDw"
"Plectropomus laevis",120,"FisCep","BnthDw"
"Pomacentrus caeruleus",10,"Omnivr","BnthDw"
"Pomacentrus indicus",10,"HerDet","BnthDw"
"Pomacentrus taeniometopon",10,"HerDet","BnthDw"
"Pomacentrus wardi",10,"HerDet","BnthDw"
"Pseudocheilinus hexataenia",10,"InvMob","BnthDw"
"Pygoplites diacanthus",30,"InvSes","BtPlDw"
"Sargocentron spiniferum",50,"InvMob","BtPlDw"
"Scarus frenatus",50,"HerDet","BtPlDw"
"Scarus ghobban",80,"HerDet","BtPlDw"
"Scarus globiceps",50,"HerDet","BtPlDw"
"Scarus psittacus",35,"HerDet","BtPlDw"
"Scarus scaber",35,"HerDet","BtPlDw"
"Scarus tricolor",35,"HerDet","BtPlDw"
"Siganus argenteus",40,"HerDet","BtPlDw"
"Stegastes fasciolatus",15,"HerDet","BnthDw"
"Stegastes gascoynei",15,"HerDet","BnthDw"
"Stegastes lividus",10,"HerDet","BnthDw"
"Stegastes nigricans",15,"Omnivr","BnthDw"
"Stethojulis albovittata",15,"InvMob","BnthDw"
"Stethojulis strigiventer",15,"InvMob","BnthDw"
"Sufflamen chrysopterus",30,"InvMob","BtPlDw"
"Thalassoma amblycephalum",20,"Plktiv","BtPlDw"
"Thalassoma hebraicum",25,"InvMob","BnthDw"
"Thalassoma purpureum",50,"InvMob","BnthDw"
"Thalassoma quinquevittatum",15,"InvMob","BnthDw"
"Variola louti",80,"FisCep","BnthDw"
"Zanclus cornutus",25,"InvSes","BnthDw"
"Zebrasoma scopas",25,"HerDet","BtPlDw"
