,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,varname,fg
sediment[0],0.199,0.158,-0.108,0.518,0.002,0.002,5289.0,3169.0,1.0,sediment[0],browser
sediment[1],-0.26,0.151,-0.557,0.028,0.002,0.002,4938.0,3033.0,1.0,sediment[1],cropper/grazer
sediment[2],-0.094,0.15,-0.376,0.206,0.002,0.002,4918.0,3429.0,1.0,sediment[2],invertivore-mobile
sediment[3],0.039,0.152,-0.261,0.339,0.002,0.002,4464.0,3346.0,1.0,sediment[3],scraper-excavator
sediment[4],0.098,0.15,-0.212,0.368,0.002,0.002,5154.0,3331.0,1.0,sediment[4],piscivore
sediment[5],-0.085,0.145,-0.365,0.198,0.002,0.002,5296.0,3123.0,1.0,sediment[5],planktivore
nut_load[0],-0.356,0.135,-0.633,-0.098,0.002,0.001,5625.0,3241.0,1.0,nut_load[0],browser
nut_load[1],-0.103,0.131,-0.343,0.163,0.002,0.002,5764.0,3581.0,1.0,nut_load[1],cropper/grazer
nut_load[2],-0.027,0.129,-0.275,0.237,0.002,0.002,5322.0,3511.0,1.0,nut_load[2],invertivore-mobile
nut_load[3],-0.047,0.131,-0.307,0.196,0.002,0.002,4964.0,3254.0,1.0,nut_load[3],scraper-excavator
nut_load[4],-0.005,0.127,-0.257,0.244,0.002,0.002,5857.0,3392.0,1.0,nut_load[4],piscivore
nut_load[5],0.12,0.143,-0.157,0.402,0.002,0.002,5537.0,3622.0,1.0,nut_load[5],planktivore
depth[0],0.425,0.127,0.177,0.664,0.002,0.001,4132.0,3215.0,1.0,depth[0],browser
depth[1],0.115,0.136,-0.141,0.385,0.002,0.002,4995.0,3089.0,1.0,depth[1],cropper/grazer
depth[2],0.107,0.131,-0.149,0.362,0.002,0.002,4715.0,3354.0,1.0,depth[2],invertivore-mobile
depth[3],-0.177,0.126,-0.428,0.067,0.002,0.002,4580.0,3277.0,1.0,depth[3],scraper-excavator
depth[4],0.289,0.143,0.022,0.575,0.002,0.001,5712.0,3179.0,1.0,depth[4],piscivore
depth[5],0.455,0.144,0.162,0.726,0.002,0.001,4934.0,3231.0,1.0,depth[5],planktivore
"reeftype_x[0, 0]",-1.478,0.558,-2.646,-0.444,0.009,0.006,3803.0,3765.0,1.0,atoll,browser
"reeftype_x[0, 1]",-0.515,0.561,-1.544,0.63,0.01,0.007,2929.0,3330.0,1.0,atoll,cropper/grazer
"reeftype_x[0, 2]",0.085,0.563,-1.046,1.171,0.01,0.008,3231.0,3461.0,1.0,atoll,invertivore-mobile
"reeftype_x[0, 3]",0.729,0.564,-0.325,1.872,0.01,0.007,3030.0,3397.0,1.0,atoll,scraper-excavator
"reeftype_x[0, 4]",-0.297,0.567,-1.406,0.835,0.009,0.007,3596.0,3413.0,1.0,atoll,piscivore
"reeftype_x[0, 5]",-0.343,0.573,-1.415,0.825,0.01,0.008,3320.0,3281.0,1.0,atoll,planktivore
"reeftype_x[1, 0]",-0.038,0.471,-0.948,0.895,0.008,0.007,3143.0,2907.0,1.0,barrier,browser
"reeftype_x[1, 1]",-0.285,0.478,-1.234,0.628,0.01,0.007,2350.0,2449.0,1.0,barrier,cropper/grazer
"reeftype_x[1, 2]",-0.191,0.473,-1.132,0.711,0.009,0.007,2503.0,2620.0,1.0,barrier,invertivore-mobile
"reeftype_x[1, 3]",-0.416,0.478,-1.302,0.557,0.009,0.007,2605.0,2488.0,1.0,barrier,scraper-excavator
"reeftype_x[1, 4]",0.135,0.473,-0.75,1.076,0.009,0.007,2825.0,2711.0,1.0,barrier,piscivore
"reeftype_x[1, 5]",0.057,0.467,-0.807,0.995,0.009,0.007,2782.0,2856.0,1.0,barrier,planktivore
"reeftype_x[2, 0]",0.494,0.462,-0.409,1.4,0.008,0.006,3078.0,2973.0,1.0,fringing,browser
"reeftype_x[2, 1]",0.216,0.469,-0.713,1.104,0.01,0.007,2247.0,2507.0,1.0,fringing,cropper/grazer
"reeftype_x[2, 2]",0.298,0.466,-0.625,1.2,0.009,0.007,2541.0,2448.0,1.0,fringing,invertivore-mobile
"reeftype_x[2, 3]",0.272,0.466,-0.676,1.144,0.009,0.007,2437.0,2620.0,1.0,fringing,scraper-excavator
"reeftype_x[2, 4]",0.114,0.465,-0.729,1.068,0.009,0.007,2825.0,2379.0,1.0,fringing,piscivore
