"nutrient","nutrient_lab","country","site","year","hard_coral","macroalgae","turf_algae","bare_substrate","rubble","reef_type","reef_zone","depth","management_rules","grav_nc","sediment","nutrient_load","pop_count","herbivore-detritivore","herbivore-macroalgae","invertivore-mobile","omnivore","piscivore","planktivore"
"zinc.mg","Zinc","Fiji","V1",2017,8.67,2.33,19.67,15,25,"fringing","fore reef",3.9,"restriction",-0.210269848565267,1.44717703131018,6.68762008777872e-05,3.02909478521213,0.555985412175208,0.0984710344542711,0.203752791443301,0.119000146352125,0.019610527250413,0.00318008832468185
"zinc.mg","Zinc","Fiji","V4",2017,14.33,19.67,5.67,3.33,28,"fringing","fore reef",7.17,"restriction",-0.130163623535747,1.36412035199545,8.68580278028723e-06,2.40434460866772,0.456004183785863,0.0362372424480546,0.152698403025038,0.019198225046232,0.00465567189687111,0.331206273797941
"zinc.mg","Zinc","Fiji","V6",2017,6.67,29,6.67,2.33,9.33,"fringing","fore reef",5.7,"restriction",-0.207662950986604,0,0,3.35643994413202,0.372677749326458,0.0311540444586459,0.242128752718832,0.0860982347260661,0.108268312730969,0.159672906039029
"zinc.mg","Zinc","Fiji","VIR1",2018,37.17,2.5,1.33,8.33,11.33,"barrier","fore reef",8.77,"no-take",0.322632711692223,0,0.00010942842203743,0.310436907357888,0.425571797465939,0.0297464891316872,0.111380231532633,0.0933514193010846,0.0511495668154423,0.288800495753214
"zinc.mg","Zinc","Fiji","VIR10",2018,3.33,10,0.83,2,67.5,"barrier","fore reef",8.37,"restriction",0.52890269469723,2.1221497195318,0.0139102498205329,0,0.329332418804198,0.0944110341085547,0.145860624743172,0.110235764238104,0.0347889280737769,0.285371230032194
"zinc.mg","Zinc","Fiji","VIR11",2018,7.5,6,2.33,11.33,49.83,"barrier","fore reef",7.42,"restriction",0.441576689819574,1.51417760794607,0.00793331606358139,0,0.429937396544027,0.0625033518413887,0.0528577764304967,0.0686773096180091,0.0929637391555445,0.293060426410534
"zinc.mg","Zinc","Fiji","VIR2",2018,39,13.17,4,6.83,3.17,"barrier","fore reef",8.38,"no-take",0.32263250508205,0,0.00010942842203743,0.310436907357888,0.403848047610089,0.0355418059486515,0.229892486520649,0.014065860467694,0.137617809358586,0.17903399009433
"zinc.mg","Zinc","Fiji","VIR3",2018,37.5,17.83,1.5,8,4.83,"barrier","fore reef",8.43,"no-take",0.322632711692223,0,0.00010942842203743,0.310436907357888,0.695984581243433,0.00482287747443991,0.103950543625659,0.045774135976604,0.0621569138371463,0.0873109478427177
"zinc.mg","Zinc","Fiji","VIR5",2018,14.17,23.5,3.17,9.33,19.17,"barrier","fore reef",8.15,"no-take",0.369567048477107,0.0192251621146958,0.000735939540833511,0.310436907357888,0.235945162730989,0.0936574823369129,0.254042158070733,0.0955847514091361,0.0477837884382139,0.272986657014015
"zinc.mg","Zinc","Fiji","VIR6",2018,9.83,22,1.83,5.33,42.33,"barrier","fore reef",10.62,"restriction",0.52890269469723,2.12214969002806,0.0139102498205329,0,0.152577342693046,0.00319274286357396,0.0657974207615434,0.054406535980214,0.00783269941846924,0.716193258283153
"zinc.mg","Zinc","Fiji","VIR7",2018,6.67,7.83,4,2.83,41.17,"barrier","fore reef",10.07,"restriction",0.474338519709304,1.63933012507053,0.00792691951868388,0,0.129269432040559,0.00468260026253269,0.101719894636984,0.0253672667887622,0.151288788889798,0.587672017381364
"zinc.mg","Zinc","Fiji","VIR9",2018,12.5,16.67,0.5,11.33,32.67,"barrier","fore reef",8.17,"no-take",0.411920409680825,0.761202306569048,0.00253192494542939,0.310436907357888,0.295918487581787,0.0507957898889386,0.0991659658930495,0.199967112938635,0.0362860165991828,0.317866627098408
"zinc.mg","Zinc","Fiji","Vatu01",2017,12.33,6,13.33,21,4.67,"lagoon","back reef",1,"restriction",-2.1670442493954,0,0,1.23884845484587,0.686676592486641,0.0371868631174429,0.199669625846457,0.00674236193107769,0.0572577529414949,0.0124668036768862
"zinc.mg","Zinc","Fiji","Vatu02",2017,46.67,4.33,2,1,29,"fringing","fore reef",11,"restriction",-2.1670442493954,0,0,1.23884842978848,0.314413633818122,0.342728924602322,0.199032233703815,0.0423420027180894,0.0443126472366046,0.0571705579210465
"zinc.mg","Zinc","Fiji","Vatu03",2017,36,30.33,1,9.67,1.33,"fringing","fore reef",9.97,"restriction",-2.1670442493954,0,0,1.23884845484587,0.507748707415485,0.0419055502660929,0.0506822364736953,0.103888545235849,0.0482668924870954,0.247508068121782
"zinc.mg","Zinc","Fiji","Vatu04",2017,34.67,18.33,1.67,9.33,2.67,"fringing","fore reef",10,"restriction",-2.1670442493954,0,0,1.23884845484587,0.679568607327049,0.0900888364773109,0.0112197559328699,0.177847074879104,0.0226080529609414,0.0186676724227248
"zinc.mg","Zinc","Fiji","Vatu05",2017,20.33,1.67,1,22,2.67,"fringing","fore reef",10.67,"restriction",-2.1670442493954,0,0,1.23884845484587,0.395307813120126,0.0440844470852588,0.192758328428859,0.271941772234707,0.0583663697886108,0.0375412693424388
"zinc.mg","Zinc","Fiji","Vatu06",2017,21,1.33,26.67,8.33,13,"fringing","fore reef",10,"restriction",-2.1670442493954,0,0,1.23884845484587,0.414777686720514,0.0567570797491989,0.0872515770525766,0.424936415051102,0.0140178370882164,0.00225940433839163
"zinc.mg","Zinc","Fiji","WaiE2",2019,19,12.33,7,7.33,15,"patch","fore reef",7.33,"restriction",1.28149093162505,1.70394458153911,0.0107603022295112,2.43653758672149,0.739366320884565,0.00231932144481614,0.0698957896695253,0.131606923058064,0.0476584134364239,0.00915323150660499
"zinc.mg","Zinc","Fiji","WaiE5",2019,10,22,15,1,8.67,"patch","fore reef",6.03,"restriction",1.28462843383306,1.80336540564203,0.0109047484434043,3.45978624340369,0.490725894225019,0.0034534858858868,0.182158058261476,0.164505050812727,0.0994502905079214,0.0597072203069692
"zinc.mg","Zinc","Fiji","Yac02",2017,34,1,9.67,10,9.33,"fringing","fore reef",11,"restriction",-3.44249279809434,0.423210801192671,0,2.23390428581903,0.301391589006553,0.117665135089693,0.0971761893005132,0.453596017954971,0.0275823154011117,0.0025887532471571
"zinc.mg","Zinc","Fiji","Yac03",2017,10.67,9.33,1.67,54,0.67,"fringing","fore reef",10.17,"restriction",-3.44249279809434,0.423210801192671,0,2.2339043010256,0.344699266931829,0.0383026208958795,0.107397673256778,0.377327264220685,0.0548103410950193,0.0774628335998095
"zinc.mg","Zinc","Fiji","Yac04",2017,15.33,30,6.67,16.33,2.33,"fringing","fore reef",10.1,"restriction",-3.44249279809434,0.329036461101657,0,2.21686170741671,0.273727227887621,0.0257529804385743,0.0897753258072486,0.456756130171011,0.00440767375590032,0.149580661939644
"zinc.mg","Zinc","Fiji","Yac06",2017,34.67,6.67,4,19.33,0,"fringing","fore reef",9.67,"restriction",-3.44249279809434,0.415618797622258,0,2.23390429849117,0.468195054187421,0.0590716120386088,0.167349959909094,0.260273890284183,0.0202210175228749,0.0248884660578189
"zinc.mg","Zinc","Fiji","Yac07",2017,34.33,22,12,5.33,0,"fringing","fore reef",9.53,"restriction",-3.44249279809434,0.415618797622258,0,2.23390427821574,0.764449754541658,0.0132213684264643,0.0265584444338899,0.148454039377548,0.0101709453320428,0.0371454478883972
"zinc.mg","Zinc","Fiji","Yac08",2017,20,15.67,2.67,19.67,1,"fringing","fore reef",9.8,"restriction",-3.44249279809434,0.415618797622258,0,2.23390425794032,0.6558092826843,0.015432870491357,0.181841319975484,0.0806385565879782,0.0413825294568869,0.024895440803994
"zinc.mg","Zinc","Fiji","Yac09",2017,30,11,7.33,8,0.67,"fringing","fore reef",11.13,"restriction",-3.44249279809434,0.397101184481657,0,2.21686170741671,0.723859361417273,0.0114903887394419,0.0458244770207574,0.13637645302498,0.0502059946399528,0.0322433251575949
"zinc.mg","Zinc","Fiji","Yac13",2017,20.33,8,10.67,28.33,0,"fringing","fore reef",10.5,"restriction",-3.44249279809434,0.415618797622258,0,2.23390427568132,0.30844810639681,0.205557216334258,0.141681434394432,0.126468466353668,0.09698719830001,0.120857578220822
"zinc.mg","Zinc","Fiji","Yac15",2017,26,19.33,23,1,0,"fringing","fore reef",9.5,"restriction",-3.44249279809434,0.415618797622258,0,2.23390428075017,0.471903685249382,0.0216125765736099,0.0718504701806232,0.29695401266783,0.0384494506330221,0.0992298046955324
"zinc.mg","Zinc","Fiji","Yac16",2017,31.33,9.67,27.33,0.67,1,"fringing","fore reef",8.9,"restriction",-3.44249279809434,0.423210801192671,0,2.23390427568132,0.694856646121282,0.00818601804750964,0.0685929622491486,0.185226863658019,0.0295384187680127,0.0135990911560274
"zinc.mg","Zinc","Fiji","Yac19",2017,17.33,6,12.67,22,0.67,"fringing","fore reef",8.83,"restriction",-3.44249279809434,0.329036461101657,0,2.21686168896568,0.540150119444027,0.00589886371578248,0.0384134684081484,0.225754964630786,0.187289026166363,0.00249355763489357
