"id2","nutrient","nutrient_lab","country","reef_type","reef_zone","management_rules","biomass_kgha","hard_coral","macroalgae","turf_algae","bare_substrate","rubble","depth","grav_nc","sediment","nutrient_load","pop_count","herbivore","invertivore_mobile","omnivore","piscivore","planktivore"
"CZPR7_Belize","vitamin_a.mug","Vitamin A","Belize","patch","back reef","no-take",-0.172441467319844,-0.626783859800637,0.0793265709087735,0.367596672270137,-0.596727134213913,-0.864288109144397,-1.75284212324603,0.397472738755731,-1.41115186270554,-0.507986991117047,-1.35483976773912,0.207799300510121,0.18749398684927,0,0.604706712640608,0
"GUZFR2_Belize","vitamin_a.mug","Vitamin A","Belize","atoll","fore reef","restriction",0.170964216839678,-1.07715007092465,0.730439821816391,1.65357755584864,-0.29903571736881,-0.0380734968488004,1.97552461610748,0.339556923610143,-1.41115186270554,-0.508252514120724,-1.73481754326196,0.328733541938904,0.236032835057095,0,0.416554817889257,0.0186788051147441
"GUZFR4_Belize","vitamin_a.mug","Vitamin A","Belize","atoll","fore reef","restriction",0.618845019385992,-0.284458565034928,1.5285786455096,1.57155599607598,-0.596727134213913,-0.850477245418709,0.00157841518599467,0.271461159818814,-1.41115186270554,-0.508252514120724,-1.92100371432407,0.189461238330997,0.0652082957056746,0,0.696504636548391,0.0488258294149377
"GUZPR1_Belize","vitamin_a.mug","Vitamin A","Belize","patch","back reef","restriction",-0.250251415827174,-1.00375270926819,0.588941526203191,1.00228731336811,-0.587250066636447,-0.84397801543015,-2.02055634579416,0.397473023393996,-1.41115186270554,-0.507986991117047,-1.35483974667661,0.161967981690669,0.14330991033646,0,0.694722107972871,0
"GUZPR2_Belize","vitamin_a.mug","Vitamin A","Belize","patch","back reef","restriction",0.463604338551705,-0.989073236936901,0.509348734920766,0.433018630660235,-0.596727134213913,-0.809857057990213,-2.05089729101628,0.427566322766268,-1.41115186270554,-0.506500086830232,-1.92100371432407,0.0905881179086301,0.0249610995505589,0,0.883188080824417,0.00126270171639442
"GUZPR5_Belize","vitamin_a.mug","Vitamin A","Belize","patch","back reef","restriction",0.607015796168519,-0.822901610146686,0.96332243334645,-0.560028110873054,-0.596727134213913,-0.864288109144397,-2.11157918146052,0.367837833262774,-1.41115186270554,-0.508252514120724,-1.92100371432407,0.26859098992124,0.191950677397732,0,0.539458332681028,0
"GUZPR6_Belize","vitamin_a.mug","Vitamin A","Belize","patch","back reef","restriction",-0.399484715991848,-0.88161949947185,0.287889162880314,0.765987105451633,-0.596727134213913,-0.857382677281553,-2.14370488816629,0.339556923610143,-1.41115186270554,-0.508252514120724,-1.73481754326196,0.191729422572287,0.0311529351328312,0,0.777117642294881,0
"WFR2_Belize","vitamin_a.mug","Vitamin A","Belize","atoll","fore reef","no-take",-0.558841982189794,-0.483805799293861,0.904364810174283,0.765498881881558,-0.596727134213913,-0.789953166150251,1.67389992536993,0.469277019367906,-1.41115186270554,-0.494181624054741,-1.46079389665828,0.136479926951046,0.264571839711199,0,0.598948233337755,0
"WFR3_Belize","vitamin_a.mug","Vitamin A","Belize","atoll","fore reef","no-take",-0.854842652405924,-0.852260554809268,1.4055046071377,-0.348139081460346,-0.596727134213913,-0.864288109144397,1.50077806145548,0.502470528240882,-1.41115186270554,-0.494340896286997,-2.64995218391033,0.169112692758635,0.0701592887606318,0,0.760728018480733,0
"WFR4_Belize","vitamin_a.mug","Vitamin A","Belize","atoll","fore reef","no-take",-0.0402281256190973,-0.504650650004295,0.994275185511838,0.465241386285209,-0.540979677875879,-0.620566984573425,0.251445022897575,0.502470528240882,-1.41115186270554,-0.494340896286997,-2.64995218391033,0.114984248724686,0.0368628569441526,0,0.847263954586806,0.000888939744355667
