"nut_turnover","biomass_kgha","nutrient","nutrient_lab","country","site","year","reef_type","reef_zone","management_rules","hard_coral","macroalgae","turf_algae","bare_substrate","depth","grav_nc","sediment","nutrient_load","pop_count"
0.0076358505016796,12977.565,"iron.mg","Iron","Fiji","TF4",2017,"fringing","fore reef","access restriction",-1.56040194153003,1.70221644404609,0.660104841195876,1.92669919189201,-0.0949988067620641,-0.00870036141218736,0.325400740583876,-0.485922491884515,0.669138132439255
0.0142731719735113,3196.23,"iron.mg","Iron","Fiji","TF5",2017,"fringing","fore reef","access restriction",-1.42319210591162,1.60353160940448,2.4449446906431,-0.317284575518239,-0.351665758724774,-0.00870036141218736,0.325400726085186,-0.485922491884515,0.669138123005046
0.0164095295315799,3018.605,"iron.mg","Iron","Fiji","TT1",2017,"fringing","fore reef","time restriction",-1.26596023419439,2.98882925057661,0.49855445133315,0.177829280636336,0.26714771450039,-0.00870036141218736,0.325400755082565,-0.485922491884515,0.669138149211182
0.0149984197853598,5034.86,"iron.mg","Iron","Fiji","TT2",2017,"fringing","fore reef","access restriction",-1.14818355126014,2.39523626025111,0.173507281368389,0.291910814312505,-0.622396653260783,-0.00870036141218736,0.325400755082565,-0.485922491884515,0.669138149840129
0.0240328556346367,1778.85,"iron.mg","Iron","Fiji","TT3",2017,"fringing","fore reef","access restriction",-1.52094675274705,2.49392109489273,0.173507281368389,-0.126768414279037,0.0350926620409534,-0.00870036141218736,0.325400726085186,-0.485922491884515,0.66913812908487
0.0180899478995155,2838.05833333333,"iron.mg","Iron","Fiji","V1",2017,"fringing","fore reef","access restriction",-1.22650504541142,-0.746354641046592,0.693193475264145,1.12812845615883,-1.00915507402651,0.0769481297091039,0.247157713927234,-0.495287985802985,0.399941761386025
0.0151263740444065,3367.27,"iron.mg","Iron","Fiji","V2",2017,"fringing","fore reef","access restriction",-0.990951679542909,-0.375359022093155,-1.12376181313169,2.7252699276252,-0.0352270508255426,0.0769481297091039,0.247157731003551,-0.495287985802985,0.399941778807473
0.0222363324367445,1369.27,"iron.mg","Iron","Fiji","V3",2017,"fringing","fore reef","access restriction",-1.22650504541142,-0.721126938957759,1.17979103509163,-0.164415320392172,-0.984543174523237,0.079380517963964,-1.34618279552997,-0.503823601034509,0.719057354836158
0.024610058066601,3124.28,"iron.mg","Iron","Fiji","V4",2017,"fringing","fore reef","access restriction",-0.893197032707478,0.540258165483928,-0.669279692252819,-0.20320304184207,0.140572231340697,0.151691933415775,0.155712390466459,-0.502715005307833,-0.209101933432629
0.0195111757985247,1214.99,"iron.mg","Iron","Fiji","V5",2017,"fringing","fore reef","access restriction",-1.26596023419439,1.15833686666035,-0.118451254528103,0.405992347988674,-0.200478376061808,0.079380517963964,-1.34618279552997,-0.503823601034509,0.719057335830339
0.0238152656901875,1825.07,"iron.mg","Iron","Fiji","V6",2017,"fringing","fore reef","time restriction",-1.34428172834567,1.23253599045104,-0.571960180287321,-0.317284575518239,-0.376277658228048,0.079380517963964,-1.34618279552997,-0.503823601034509,0.719057325582103
0.0233604697501897,606.695,"iron.mg","Iron","Fiji","Vatu01",2017,"lagoon","back reef","access restriction",-1.01097371564173,-0.474043856734769,0.0761877694028915,1.81261765821584,-2.0287909105907,-1.74883709060291,-1.34618279552997,-0.503823601034509,-1.34529702463981
0.00596744486854378,10489.3733333333,"iron.mg","Iron","Fiji","Vatu02",2017,"fringing","fore reef","access restriction",1.01125193033942,-0.597956393465217,-1.02644230116619,-0.469013015307544,1.48719473273409,-1.74883709060291,-1.34618279552997,-0.503823601034509,-1.34529704906725
0.00762578335298456,5775.35833333333,"iron.mg","Iron","Fiji","Vatu03",2017,"fringing","fore reef","access restriction",0.382913326885171,1.33122082509266,-1.12376181313169,0.520073881664844,1.12504821147164,-1.74883709060291,-1.34618279552997,-0.503823601034509,-1.34529702463981
0.0187828696613574,3941.71833333333,"iron.mg","Iron","Fiji","Vatu04",2017,"fringing","fore reef","access restriction",0.304591832733892,0.440831339604407,-1.05855774011481,0.481286160214946,1.13559616840161,-1.74883709060291,-1.34618279552997,-0.503823601034509,-1.34529702463981
0.0197622954093496,1381.15166666667,"iron.mg","Iron","Fiji","Vatu05",2017,"fringing","fore reef","access restriction",-0.539866983904714,-0.795326062748446,-1.12376181313169,1.92669919189201,1.37116720650438,-1.74883709060291,-1.34618279552997,-0.503823601034509,-1.34529702463981
0.0134832652681573,1123.19833333333,"iron.mg","Iron","Fiji","Vatu06",2017,"fringing","fore reef","access restriction",-0.500411795121739,-0.82055376483728,1.37443005902263,0.367204626538777,1.13559616840161,-1.74883709060291,-1.34618279552997,-0.503823601034509,-1.34529702463981
0.0216652196770944,11353.285,"iron.mg","Iron","Fiji","VIR1",2018,"barrier","fore reef","no-take",0.45181268640171,-0.733740790002175,-1.09164637418308,0.367204626538777,0.703129934272664,0.574177456693243,-1.34618279552997,-0.489856914924286,-2.25036791605106
0.0193684306664641,3783.79833333333,"iron.mg","Iron","Fiji","VIR10",2018,"barrier","fore reef","access restriction",-1.54096878884588,-0.17724736157202,-1.14030613016583,-0.354931481631375,0.562490508539672,0.766639442195906,0.990301989750269,1.27158437196646,-2.55300030922795
0.0243536873745276,6960.32,"iron.mg","Iron","Fiji","VIR11",2018,"barrier","fore reef","access restriction",-1.29540440492796,-0.474043856734769,-0.99432686221758,0.709449227567285,0.228471872423817,0.68515916067399,0.32092528389364,0.508729931313157,-2.55300030922795
0.0165039789925138,8917.20666666667,"iron.mg","Iron","Fiji","VIR2",2018,"barrier","fore reef","no-take",0.559578351286553,0.0579638608444597,-0.831803277235199,0.196082326024523,0.566006494182998,0.574177263913839,-1.34618279552997,-0.489856914924286,-2.25036791605106
0.0227067978810685,4960.20333333333,"iron.mg","Iron","Fiji","VIR3",2018,"barrier","fore reef","no-take",0.471245839085862,0.403731777709063,-1.07510205714894,0.329557720425641,0.583586422399621,0.574177456693243,-1.34618279552997,-0.489856914924286,-2.25036791605106
0.0234041309031086,9013.37,"iron.mg","Iron","Fiji","VIR5",2018,"barrier","fore reef","no-take",-0.902619167342218,0.824440809602261,-0.912578472166562,0.481286160214946,0.485138824386527,0.617969944161719,-1.3250159106669,-0.409893373662616,-2.25036791605106
0.0494628826348543,4036.34733333333,"iron.mg","Iron","Fiji","VIR6",2018,"barrier","fore reef","access restriction",-1.15819456930955,0.71314212391623,-1.04298661820033,0.0249600255102687,1.35358727828775,0.766639442195906,0.990301957266676,1.27158437196646,-2.55300030922795
0.0210174929692634,12167.8616666667,"iron.mg","Iron","Fiji","VIR7",2018,"barrier","fore reef","access restriction",-1.34428172834567,-0.338259460197811,-0.831803277235199,-0.260243808680155,1.16020806790489,0.715727868429809,0.458718084000765,0.507913520611895,-2.55300030922795
0.0291022830367758,5416.78,"iron.mg","Iron","Fiji","VIR8",2018,"barrier","fore reef","no-take",-0.843730825875091,0.503158603588585,-1.10721749609756,-0.146162275003985,0.738289790705912,0.715727868429809,0.458718084000765,0.507913520611895,-2.55300030922795
0.02977808602771,6381.25,"iron.mg","Iron","Fiji","VIR9",2018,"barrier","fore reef","no-take",-1.00096269759232,0.317660794111866,-1.17242156911444,0.709449227567285,0.492170795673177,0.657488112880339,-0.508099793445088,-0.180666231961235,-2.25036791605106
0.0413717451763516,1339.02333333333,"iron.mg","Iron","Fiji","WaiE2",2019,"patch","fore reef","access restriction",-0.618188478055993,-0.00436340313971774,-0.539844741338707,0.253123092862607,0.196828001633894,1.46884838328823,0.529858537974617,0.869546871577349,-0.177718300362626
0.039294889517044,1115.88366666667,"iron.mg","Iron","Fiji","WaiE3",2019,"patch","fore reef","access restriction",-1.12875039857599,-0.795326062748446,-1.15587725208031,0.634155415341013,-0.51691708396104,1.37158238695294,0.355159416811441,0.289937654291833,0.0737233149442881
0.0596467593104352,991.0125,"iron.mg","Iron","Fiji","WaiE4",2019,"fringing","fore reef","access restriction",-0.67707681952312,-0.795326062748446,-1.12376181313169,-0.240849947955206,-0.305957945361552,1.37158241389598,0.355159444059146,0.289937654291833,0.0737233303448053
0.0455105125760418,640.842166666667,"iron.mg","Iron","Fiji","WaiE5",2019,"patch","fore reef","access restriction",-1.14818355126014,0.71314212391623,0.238711354385272,-0.469013015307544,-0.260250131998329,1.47177585676583,0.639320768993716,0.887982986178042,0.819805455502437
0.0645466949919214,338.365,"iron.mg","Iron","Fiji","WaiE6",2019,"patch","fore reef","access restriction",-0.460956606338763,-0.0533348248415715,1.37443005902263,-0.545447642870578,-0.330569844864825,1.47177585676583,0.639320746434339,0.887982986178042,0.819805436702772
0.0147362934778823,1812.32833333333,"iron.mg","Iron","Fiji","Yac01",2017,"fringing","fore reef","access restriction",0.441801668352298,-0.82055376483728,-0.215770766493601,0.101394653073302,1.31139545056785,-2.94228692013921,-0.943787473572914,-0.503823601034509,-0.440209410599754
0.0267839376375204,1365.895,"iron.mg","Iron","Fiji","Yac02",2017,"fringing","fore reef","time restriction",0.265136643950916,-0.845039475688207,-0.280001644390829,0.557720787777979,1.48719473273409,-2.93890535217411,-0.880228113420599,-0.503823601034509,-0.375257315009329
0.0309247692652,1642.82333333333,"iron.mg","Iron","Fiji","Yac03",2017,"fringing","fore reef","access restriction",-1.10872836247716,-0.22696077451178,-1.05855774011481,5.57730826952943,1.19536792433814,-2.93890535217411,-0.880228113420599,-0.503823601034509,-0.375257300185058
0.054344767569497,685.605,"iron.mg","Iron","Fiji","Yac04",2017,"fringing","fore reef","access restriction",-0.83430869124035,1.30673511424173,-0.571960180287321,1.27985689594813,1.17075602483486,-2.93890535217411,-0.983913970625343,-0.503823601034509,-0.391871435835671
0.0476465192066598,298.866666666667,"iron.mg","Iron","Fiji","Yac05",2017,"lagoon","back reef","access restriction",-1.61929028299716,-0.152761650721093,-1.15587725208031,0.785883855130318,-1.18495435619275,-2.93890535217411,-0.880228113420599,-0.503823601034509,-0.375257334775024
0.0266499636505218,1347.50833333333,"iron.mg","Iron","Fiji","Yac06",2017,"fringing","fore reef","access restriction",0.304591832733892,-0.424330443795009,-0.831803277235199,1.62210149697664,1.0195686421719,-2.93890535217411,-0.888586901996543,-0.503823601034509,-0.37525730265577
0.0346626373362349,895.756666666667,"iron.mg","Iron","Fiji","Yac07",2017,"fringing","fore reef","access restriction",0.284569796635068,0.71314212391623,-0.0532471815112201,0.0249600255102687,0.970344843165349,-2.93890535217411,-0.888586901996543,-0.503823601034509,-0.375257322421464
0.0166631564525602,2774.65833333333,"iron.mg","Iron","Fiji","Yac08",2017,"fringing","fore reef","access restriction",-0.559300136588866,0.243461670321178,-0.961238228149311,1.66088921842654,1.06527645553512,-2.93890535217411,-0.888586901996543,-0.503823601034509,-0.37525734218716
0.0221072993662397,4518.86,"iron.mg","Iron","Fiji","Yac09",2017,"fringing","fore reef","access restriction",0.029583278082407,-0.103048237781332,-0.507729302390093,0.329557720425641,1.53290254609732,-2.93890535217411,-0.908974776124606,-0.503823601034509,-0.391871435835671
0.0757920514796158,66.3916666666667,"iron.mg","Iron","Fiji","Yac11",2017,"lagoon","back reef","access restriction",-0.264858429253229,-0.201733072422946,-0.377321156356326,-0.0126868806028672,-0.822807834930297,-2.93890535217411,-0.983913970625343,-0.503823601034509,-0.391871453822836
