"id2","nutrient","nutrient_lab","country","reef_type","reef_zone","management_rules","biomass_kgha","hard_coral","macroalgae","turf_algae","bare_substrate","rubble","depth","grav_nc","sediment","nutrient_load","pop_count","herbivore","invertivore_mobile","omnivore","piscivore","planktivore"
"Vatu06_Fiji","selenium.mug","Selenium","Fiji","fringing","fore reef","restriction",-0.364944675622242,-0.460612233010422,-0.84225477630116,1.4582881278185,0.332025488377738,0.191836763996484,1.10813053505157,-1.66038162775462,-1.41115186270554,-0.508252514120724,-1.42469832902699,0.298533425366813,0.171026894814273,0.471688035620482,0.0537543105562754,0.00499733364215722
"WaiE2_Fiji","selenium.mug","Selenium","Fiji","patch","fore reef","restriction",-0.642721606315501,-0.57804801166075,-0.0315874576838654,-0.462383396857982,0.22053057570167,0.354317513710465,0.155067902780251,1.42258390576388,0.463577329931712,0.8074975265805,-0.240152132079076,0.600214538363795,0.123014822286522,0.144526795986633,0.113082986829642,0.0191608565334068
"WaiE3_Fiji","selenium.mug","Selenium","Fiji","patch","fore reef","restriction",-0.77261664513287,-1.08713211210993,-0.817197786452989,-1.08047443657339,0.592923584039739,0.598038638281438,-0.569545259583333,1.32939029914253,0.289000396831386,0.252206098344184,0.0149434798683182,0.388494097818224,0.288607534573907,0.144982171517075,0.177916196090794,0
"WaiE4_Fiji","selenium.mug","Selenium","Fiji","fringing","fore reef","restriction",-0.700200715771193,-0.636765900985915,-0.817197786452989,-1.04825168094842,-0.262242396185707,2.14160576056426,-0.355373881544835,1.3293903249575,0.289000424060033,0.252206098344184,0.0149434954926386,0.264186157267932,0.149948830479871,0.159453015997766,0.0301756206638052,0.396236375590625
"WaiE5_Fiji","selenium.mug","Selenium","Fiji","patch","fore reef","restriction",-0.830382738014292,-1.10650901558723,0.681062812409701,0.3187743152626,-0.485232221537845,-0.159934059134287,-0.308970082969827,1.42538881006698,0.572963000874983,0.825160144948945,0.771867825809985,0.328936103344892,0.327762490439209,0.122297998186924,0.141806645348545,0.0791967626804297
"WaiE6_Fiji","selenium.mug","Selenium","Fiji","patch","fore reef","restriction",-0.949967063008128,-0.421271247162561,-0.0802274968009031,1.4582881278185,-0.559933813030811,-0.350036536299645,-0.380360542315993,1.42538881006698,0.572962978331384,0.825160144948945,0.77186780673712,0.680998223946724,0.169065036351545,0.0812045142320445,0.0687322254696868,0
"Yac01_Fiji","selenium.mug","Selenium","Fiji","fringing","fore reef","restriction",-0.0977330731174376,0.478873996192209,-0.84225477630116,-0.137226499187789,0.0722423418424983,-0.106315411728673,1.28660668341698,-2.80386340069326,-1.00903798409268,-0.508252514120724,-0.50645781228622,0.415812081008226,0.171716971818941,0.398177484003988,0.0142934631688455,0
"Yac02_Fiji","selenium.mug","Selenium","Fiji","fringing","fore reef","restriction",-0.141489702999976,0.302720328216715,-0.866574795859679,-0.201672010437737,0.518221992546773,-0.106315411728673,1.4650828317824,-2.80062341419667,-0.945523078629329,-0.508252514120724,-0.440561820679259,0.320139955790465,0.191354079875244,0.38527269182294,0.0985661202753122,0.00466715223603852
"Yac03_Fiji","selenium.mug","Selenium","Fiji","fringing","fore reef","restriction",-0.0112459459501787,-1.06716802973937,-0.252678544579491,-0.982829722558319,5.42399815029379,-0.809857057990213,1.16881242549581,-2.80062341419667,-0.945523078629329,-0.508252514120724,-0.440561805639559,0.204692957144409,0.198587994589966,0.278661303902552,0.19246477148868,0.125592972874393
"Yac04_Fiji","selenium.mug","Selenium","Fiji","fringing","fore reef","restriction",-0.57306272005079,-0.793542665484104,1.27063904413137,-0.494606152482956,1.22398478978629,-0.674998035727609,1.14382576472465,-2.80062341419667,-1.04913641586973,-0.508252514120724,-0.457417381020734,0.190005601945529,0.146423702933087,0.401036793345457,0.0234367821905691,0.239097119585358
"Yac05_Fiji","selenium.mug","Selenium","Fiji","lagoon","back reef","restriction",-0.93258621216022,-1.57625213018854,-0.178981515614283,-1.08047443657339,0.74121181789891,1.76221320998212,-1.24775462337191,-2.80062341419667,-0.945523078629329,-0.508252514120724,-0.440561840732193,0.483631464831793,0.336857633297978,0.173175746718407,0.00633515515182154,0
"Yac06_Fiji","selenium.mug","Selenium","Fiji","fringing","fore reef","restriction",-0.351471471187486,0.342061314064576,-0.448712641626946,-0.7553175389032,1.55846952781449,-0.864288109144397,0.990336277130393,-2.80062341419667,-0.953876020901198,-0.508252514120724,-0.440561808146176,0.374943568050174,0.311739007033228,0.237888365280658,0.0331826021556433,0.0422464574802968
"Yac07_Fiji","selenium.mug","Selenium","Fiji","fringing","fore reef","restriction",2.18399706199707,0.32209723169402,0.681062812409701,0.0258401732173821,-0.00245924965046764,-0.864288109144397,0.940362955588076,-2.80062341419667,-0.953876020901198,-0.508252514120724,-0.440561828199109,0.549102143583086,0.110896877625853,0.183281207665611,0.0545373600541346,0.102182411071315
"Yac08_Fiji","selenium.mug","Selenium","Fiji","fringing","fore reef","restriction",0.21480689407827,-0.519330122335586,0.214560619059931,-0.885185008543246,1.59637779812436,-0.783047734287406,1.0367400757054,-2.80062341419667,-0.953876020901198,-0.508252514120724,-0.440561848252043,0.371388302227693,0.385999844305415,0.0765342590073151,0.123832668764928,0.0422449256946495
"Yac09_Fiji","selenium.mug","Selenium","Fiji","fringing","fore reef","restriction",1.65260386804053,0.0678487709160579,-0.129604506207593,-0.430160641233008,0.295232167194635,-0.809857057990213,1.5114866303574,-2.80062341419667,-0.974249635341928,-0.508252514120724,-0.457417381020734,0.460185516523011,0.105499786203672,0.16498555079856,0.211118387869747,0.0582107586050098
"Yac11_Fiji","selenium.mug","Selenium","Fiji","lagoon","back reef","restriction",-1.04634677582166,-0.225740675709764,-0.22762155473132,-0.29931672445281,-0.0392525708335703,-0.431276911156636,-0.880093757739155,-2.80062341419667,-1.04913641586973,-0.508252514120724,-0.457417399269292,0.289031528197537,0.10942941237669,0.523772808776119,0.0730269859806532,0.00473926466899974
