"nutrient","nutrient_lab","country","site","year","hard_coral","macroalgae","turf_algae","bare_substrate","rubble","reef_type","reef_zone","depth","management_rules","grav_nc","sediment","nutrient_load","pop_count","herbivore-detritivore","herbivore-macroalgae","invertivore-mobile","omnivore","piscivore","planktivore"
"selenium.mug","Selenium","Fiji","NAOBF2",2019,27,10.33,22,1.67,19.83,"fringing","fore reef",5.62,"restriction",0.473012855941716,1.70257783552573,0.00113289826486162,3.77361695773741,0.293562725787084,0.00377805017990602,0.447683826393156,0.162878692043415,0.0585502319367164,0.0335464736597218
"selenium.mug","Selenium","Fiji","NAOBF3",2019,23,6,4.67,2.5,13.17,"fringing","fore reef",4.13,"restriction",0.492116150152459,1.18495788665439,0.000490041893442823,1.54336517207369,0.15828209512331,0.00235174915858863,0.46915265255597,0.0557857213460839,0.183872696899496,0.130555084916551
"selenium.mug","Selenium","Fiji","NAOBF4",2019,44.17,12.83,5.5,1.33,5.5,"fringing","fore reef",7.2,"restriction",0.492116150152459,1.18495785828653,0.000490041893442823,1.54336514721666,0.0917108620608927,0.0515896604284445,0.313315330067748,0.0610747430576714,0.114933097251491,0.367376307133752
"selenium.mug","Selenium","Fiji","NAOBT1",2019,25.83,15.5,2.5,5.33,20,"fringing","fore reef",4.25,"restriction",0.473013002082483,1.70257786998185,0.00113289826486162,3.77361699906269,0.229009938361231,0.0322789201343094,0.28499582598757,0.155674232654552,0.0260858242266306,0.271955258635706
"selenium.mug","Selenium","Fiji","NAOBT2",2019,38.67,19.17,2.67,3.17,9,"fringing","back reef",6.87,"restriction",0.473013002082483,1.70257786136782,0.00113289826486162,3.77361698487312,0.222956285813114,0.0260138748088214,0.565609416755085,0.125640961509391,0.0543996076883041,0.00537985342528402
"selenium.mug","Selenium","Fiji","NC1",2017,6.67,11.67,16.33,12.67,7.33,"fringing","fore reef",7.23,"restriction",-0.264627886771199,1.34490650000883,8.03370482042936e-05,2.99738636124077,0.0999159201689896,0.0662787482397006,0.0741659827576762,0.102827264941151,0.0233605401375969,0.633451543754885
"selenium.mug","Selenium","Fiji","NC2",2017,4.33,13,11.33,37,0,"fringing","fore reef",7.8,"restriction",-0.302063107176063,1.51824251314887,0.000140254467777423,3.30523340097973,0.18777047625196,0.176741710911282,0.41643640847661,0.0861843663441595,0.123257526007966,0.0096095120080219
"selenium.mug","Selenium","Fiji","NF1",2017,3.67,30.33,2,13,24,"fringing","fore reef",5.57,"restriction",-0.169804748032487,1.39559005298009,5.64546131770521e-05,3.28125958461378,0.0552595950661688,0.0299716957446098,0.71031666302285,0.128463814134368,0.0727543616019921,0.00323387043001139
"selenium.mug","Selenium","Fiji","NF4",2017,3.67,15.33,4.67,3,46.67,"fringing","fore reef",3.23,"restriction",-0.169804748032487,1.39559005298009,5.64546131770521e-05,3.28125959052256,0.0594749711860602,0.0919820637081442,0.533049940688066,0.0304325708916444,0.267758785322555,0.0173016682035307
"selenium.mug","Selenium","Fiji","NP1",2019,32,5.33,14.33,3.33,11.5,"fringing","fore reef",7.62,"restriction",-0.283635173172106,1.65222694724211,3.64792043747266e-05,2.67904678594664,0.26027677984341,0.130997934141896,0.346426545314216,0.114939469652537,0.105652667069278,0.0417066039786621
"selenium.mug","Selenium","Fiji","NS1",2017,10.67,44,6,5.67,3,"fringing","fore reef",4.47,"restriction",0.482975179384918,1.82060014779348,0.00378860045443916,3.24689240403881,0.0607874319749629,0.155203922531225,0.708679221079802,0.0515408537171758,0.0199098789441789,0.00387869175265598
"selenium.mug","Selenium","Fiji","NTRFT8",2019,38.33,14.5,0,5.5,7.17,"fringing","fore reef",4.73,"restriction",0.507760775070823,2.72054033673888,0.0333413121355599,3.2425848088709,0.434229133797764,0.00492926369319391,0.0733519695889542,0.236230791472183,0.0673602421532485,0.183898599294657
"selenium.mug","Selenium","Fiji","NV1",2017,17,38.67,4.67,10.67,5,"fringing","fore reef",6,"restriction",-0.207662950986604,0,0,3.35643994432316,0.338848513393629,0.0898217812479044,0.298965836722289,0.0235348934752641,0.0707057401049734,0.17812323505594
"selenium.mug","Selenium","Fiji","TF3",2017,5.67,42.67,2.33,17.33,15.67,"fringing","fore reef",4,"restriction",-0.302063107176063,1.51824251314887,0.000140254467777423,3.30523340248512,0.228538119341758,0.0467140622742898,0.340333760459782,0.370399601202958,0.00563018456891698,0.00838427215229619
"selenium.mug","Selenium","Fiji","TF4",2017,3,35.33,19.33,22,0,"fringing","fore reef",6.5,"restriction",-0.302063107176063,1.51824251314887,0.000140254467777423,3.30523339689368,0.742618540764608,0.0998642754561952,0.0709745494013328,0.0534319034731335,0.0318225203155957,0.00128821058913442
"selenium.mug","Selenium","Fiji","TF5",2017,5.33,34,37.67,2.33,1.67,"fringing","fore reef",5.77,"restriction",-0.302063107176063,1.51824249998021,0.000140254467777423,3.30523338721617,0.355450215709563,0.0903104693133317,0.472472266903424,0.0435333840316959,0.0180973626521685,0.0201363013898167
"selenium.mug","Selenium","Fiji","TT3",2017,3.67,46,14.33,4,11.33,"fringing","fore reef",6.87,"restriction",-0.302063107176063,1.51824249998021,0.000140254467777423,3.30523339345279,0.179314367438436,0.0644220822698609,0.321337606956174,0.104030447217853,0.238869660239004,0.0920258358786724
"selenium.mug","Selenium","Fiji","V1",2017,8.67,2.33,19.67,15,25,"fringing","fore reef",3.9,"restriction",-0.210269848565267,1.44717703131018,6.68762008777872e-05,3.02909478521213,0.218658416628791,0.114212952846606,0.453193036453995,0.106368263512043,0.102323129424073,0.00524420113449178
"selenium.mug","Selenium","Fiji","V4",2017,14.33,19.67,5.67,3.33,28,"fringing","fore reef",7.17,"restriction",-0.130163623535747,1.36412035199545,8.68580278028723e-06,2.40434460866772,0.258750249826654,0.0404878302511706,0.267593715506018,0.0115497543678818,0.0114874444657998,0.410131005582476
"selenium.mug","Selenium","Fiji","V6",2017,6.67,29,6.67,2.33,9.33,"fringing","fore reef",5.7,"restriction",-0.207662950986604,0,0,3.35643994413202,0.0809780727980775,0.0203893275159483,0.644979945382503,0.0436661794779381,0.0968484629333773,0.113138011892156
