,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,varname,fg
"β0_managenc[6,0]",-0.001,0.958,-1.763,2.007,0.013,0.018,5381.0,2275.0,1.0,Solomon Islandsrestriction,herbivore-detritivore
"β0_managenc[6,1]",-0.052,0.986,-2.004,1.852,0.014,0.021,5271.0,2016.0,1.0,Solomon Islandsrestriction,herbivore-macroalgae
"β0_managenc[6,2]",-0.002,1.0,-2.017,1.865,0.013,0.025,6216.0,1855.0,1.0,Solomon Islandsrestriction,invertivore-mobile
"β0_managenc[6,3]",-0.008,0.98,-1.872,1.965,0.014,0.019,5107.0,2007.0,1.0,Solomon Islandsrestriction,piscivore
"β0_managenc[6,4]",-0.035,0.979,-1.934,1.809,0.014,0.02,5188.0,1977.0,1.0,Solomon Islandsrestriction,planktivore
"β0_managenc[6,5]",-0.068,0.997,-2.029,1.972,0.014,0.021,5269.0,2027.0,1.0,Solomon Islandsrestriction,omnivore
"β0_manage[0,0]",1.737,0.938,-0.132,3.564,0.045,0.032,434.0,777.0,1.01,Fijino-take,herbivore-detritivore
"β0_manage[0,1]",-0.333,0.938,-2.13,1.501,0.046,0.033,409.0,1025.0,1.01,Fijino-take,herbivore-macroalgae
"β0_manage[0,2]",1.548,0.894,-0.126,3.367,0.043,0.031,423.0,818.0,1.0,Fijino-take,invertivore-mobile
"β0_manage[0,3]",0.534,0.885,-1.141,2.303,0.041,0.029,478.0,832.0,1.0,Fijino-take,piscivore
"β0_manage[0,4]",0.562,0.891,-1.217,2.242,0.041,0.029,474.0,915.0,1.0,Fijino-take,planktivore
"β0_manage[0,5]",0.058,0.892,-1.596,1.896,0.043,0.03,435.0,965.0,1.0,Fijino-take,omnivore
"β0_manage[1,0]",0.541,0.862,-1.156,2.292,0.044,0.031,384.0,661.0,1.01,Fijirestriction,herbivore-detritivore
"β0_manage[1,1]",-0.654,0.844,-2.364,0.931,0.045,0.032,347.0,768.0,1.01,Fijirestriction,herbivore-macroalgae
"β0_manage[1,2]",0.667,0.832,-0.945,2.244,0.044,0.031,353.0,612.0,1.01,Fijirestriction,invertivore-mobile
"β0_manage[1,3]",-0.081,0.8,-1.606,1.562,0.039,0.028,421.0,627.0,1.0,Fijirestriction,piscivore
"β0_manage[1,4]",-0.224,0.819,-1.765,1.397,0.039,0.028,434.0,754.0,1.0,Fijirestriction,planktivore
"β0_manage[1,5]",0.027,0.803,-1.626,1.468,0.042,0.03,368.0,795.0,1.0,Fijirestriction,omnivore
"β0_manage[2,0]",-0.174,0.882,-1.926,1.57,0.044,0.031,399.0,750.0,1.01,Madagascarno-take,herbivore-detritivore
"β0_manage[2,1]",-0.41,0.875,-2.181,1.199,0.046,0.033,356.0,898.0,1.01,Madagascarno-take,herbivore-macroalgae
"β0_manage[2,2]",-0.039,0.862,-1.702,1.643,0.045,0.032,364.0,713.0,1.0,Madagascarno-take,invertivore-mobile
"β0_manage[2,3]",0.049,0.83,-1.592,1.648,0.04,0.028,434.0,680.0,1.0,Madagascarno-take,piscivore
"β0_manage[2,4]",0.648,0.837,-1.065,2.18,0.04,0.028,439.0,793.0,1.0,Madagascarno-take,planktivore
"β0_manage[2,5]",-0.581,0.848,-2.295,1.018,0.043,0.031,387.0,904.0,1.0,Madagascarno-take,omnivore
"β0_manage[3,0]",0.265,0.969,-1.638,2.097,0.045,0.032,459.0,866.0,1.01,Madagascaropen-access,herbivore-detritivore
"β0_manage[3,1]",-1.047,0.935,-2.769,0.833,0.046,0.033,412.0,953.0,1.01,Madagascaropen-access,herbivore-macroalgae
"β0_manage[3,2]",1.078,0.95,-0.808,2.845,0.048,0.034,395.0,814.0,1.0,Madagascaropen-access,invertivore-mobile
"β0_manage[3,3]",-0.326,0.898,-2.036,1.416,0.04,0.028,505.0,911.0,1.0,Madagascaropen-access,piscivore
"β0_manage[3,4]",1.705,0.922,-0.022,3.567,0.042,0.03,486.0,805.0,1.0,Madagascaropen-access,planktivore
"β0_manage[3,5]",-0.626,0.914,-2.426,1.098,0.042,0.03,472.0,1061.0,1.0,Madagascaropen-access,omnivore
"β0_manage[4,0]",-0.069,0.886,-1.684,1.894,0.044,0.031,405.0,739.0,1.01,Madagascarrestriction,herbivore-detritivore
"β0_manage[4,1]",-0.148,0.876,-1.83,1.593,0.046,0.032,370.0,789.0,1.01,Madagascarrestriction,herbivore-macroalgae
"β0_manage[4,2]",0.273,0.865,-1.463,1.873,0.046,0.032,356.0,615.0,1.0,Madagascarrestriction,invertivore-mobile
"β0_manage[4,3]",0.163,0.827,-1.463,1.772,0.039,0.028,449.0,698.0,1.0,Madagascarrestriction,piscivore
"β0_manage[4,4]",1.232,0.841,-0.454,2.803,0.04,0.028,453.0,848.0,1.0,Madagascarrestriction,planktivore
"β0_manage[4,5]",-0.188,0.84,-1.943,1.324,0.043,0.03,387.0,882.0,1.0,Madagascarrestriction,omnivore
"β0_manage[5,0]",0.523,1.095,-1.571,2.667,0.047,0.033,534.0,1079.0,1.01,Solomon Islandsno-take,herbivore-detritivore
"β0_manage[5,1]",-0.338,1.178,-2.718,1.978,0.051,0.036,533.0,1184.0,1.01,Solomon Islandsno-take,herbivore-macroalgae
"β0_manage[5,2]",0.485,1.083,-1.483,2.666,0.047,0.033,524.0,941.0,1.0,Solomon Islandsno-take,invertivore-mobile
"β0_manage[5,3]",0.123,1.065,-1.912,2.221,0.044,0.031,596.0,1145.0,1.0,Solomon Islandsno-take,piscivore
"β0_manage[5,4]",2.03,1.066,-0.003,4.152,0.044,0.031,591.0,1040.0,1.0,Solomon Islandsno-take,planktivore
"β0_manage[5,5]",0.028,1.114,-2.319,2.073,0.047,0.033,569.0,1320.0,1.01,Solomon Islandsno-take,omnivore
"β0_manage[6,0]",0.548,0.863,-1.186,2.278,0.044,0.031,388.0,680.0,1.01,Solomon Islandsrestriction,herbivore-detritivore
"β0_manage[6,1]",-0.784,0.849,-2.503,0.793,0.045,0.032,354.0,805.0,1.01,Solomon Islandsrestriction,herbivore-macroalgae
"β0_manage[6,2]",0.516,0.834,-1.004,2.186,0.045,0.032,349.0,614.0,1.01,Solomon Islandsrestriction,invertivore-mobile
"β0_manage[6,3]",0.097,0.809,-1.494,1.696,0.04,0.028,419.0,672.0,1.0,Solomon Islandsrestriction,piscivore
"β0_manage[6,4]",1.177,0.817,-0.461,2.717,0.039,0.028,439.0,792.0,1.0,Solomon Islandsrestriction,planktivore
"β0_manage[6,5]",-0.572,0.817,-2.199,0.959,0.043,0.03,367.0,908.0,1.0,Solomon Islandsrestriction,omnivore
