"country","zone_id","gears_category","times_category","fishing_intensity","size","age","site"
"Indonesia","Gita Nada control","None","None","High",0,"0.5","Bunutan"
"Indonesia","Gita Nada control","None","None","High",0,"0.5","Dusun Medang"
"Indonesia","Gita Nada control","None","None","High",0,"0.5","Lohlandak"
"Madagascar","Ankivonjy Restricted","Limited","Limited","High",125077,"5","Ambatofisaka_19"
"Madagascar","Ankivonjy Restricted","Limited","Limited","High",125077,"5","Madiro_17"
"Madagascar","Ankivonjy Restricted","Limited","Limited","High",125077,"5","Marotogny_20"
"Madagascar","Antanambao No-Take","All gears prohibited","Closed year-round","low",52.8,"8","Anta_08"
"Mauritius","Baie Aux Huitres potential OECM","Limited","None","NA", ,"NA","NA"
"Madagascar","Antanambao Restricted","Moderate","Limited","low",156.4,"8","Anta_09"
"Madagascar","Clb Akomba Tia Ala","Limited","Limited","Medium",64,"11","NK01"
"Madagascar","Clb Akomba Tia Ala","Limited","Limited","Medium",64,"11","NK02"
"Indonesia","Gita Nada core zone","All gears prohibited","Closed year-round","Low to Medium",495.3,"0.5","Gili Renggit"
"Indonesia","Gita Nada core zone","All gears prohibited","Closed year-round","Low to Medium",495.3,"0.5","Gili Renggit 2"
"Indonesia","Gita Nada core zone","All gears prohibited","Closed year-round","Low to Medium",495.3,"0.5","Takad Anyaran"
"Indonesia","Gita Nada core zone","All gears prohibited","Closed year-round","Low to Medium",495.3,"0.5","Gili Nanggu Barat Laut"
"Indonesia","Giti Nada control village no ecol","None","None","High",0,"0","NA"
"Indonesia","Gita Nada fisheries utilization","Limited","None","High",18663.4,"0.5","Temeran"
"Indonesia","Gita Nada fisheries utilization","Limited","None","High",18663.4,"0.5","Gili Goleng"
"Indonesia","Gita Nada fisheries utilization","Limited","None","High",18663.4,"0.5","Gili Gede Barat"
"Indonesia","Gita Nada tourism","All gears prohibited","Closed year-round","Medium to high",1800.1,"0.5","Gili Asahan"
"Indonesia","Gita Nada tourism","All gears prohibited","Closed year-round","Medium to high",1800.1,"0.5","Tanjung Beberak"
"Indonesia","Gita Nada tourism","All gears prohibited","Closed year-round","Medium to high",1800.1,"0.5","Gili Gede Timur"
"Indonesia","Gita Nada tourism","All gears prohibited","Closed year-round","Medium to high",1800.1,"0.5","Gili Layar Timur"
"Indonesia","Gita Nada tourism","All gears prohibited","Closed year-round","Medium to high",1800.1,"0.5","Gili Sudak Barat Laut"
"Indonesia","Karimunjawa control","None","None","High",0,"NA","Cendekian"
"Indonesia","Karimunjawa control","None","None","High",0,"NA","Genting 1"
"Indonesia","Karimunjawa control","None","None","High",0,"NA","Genting 2"
"Indonesia","Karimunjawa control","None","None","High",0,"NA","Genting 3"
"Madagascar","Clb Antafiambotry","Moderate","Limited","Medium",120,"11","NF01"
"Madagascar","Imorona No-Take","All gears prohibited","Closed year-round","None",46.4,"12","Imor_19"
"Madagascar","Imorona Restricted","Moderate","Limited","Medium",172,"12","Imor_18"
"Madagascar","Imorona Restricted","Moderate","Limited","Medium",172,"12","Imor_21"
"Indonesia","Karimunjawa core zone","All gears prohibited","Closed year-round","Low",521.5,"6","Legon Janten"
"Indonesia","Karimunjawa core zone","All gears prohibited","Closed year-round","Low",521.5,"6","Legon Moto"
"Indonesia","Karimunjawa core zone","All gears prohibited","Closed year-round","Low",521.5,"6","Taka Malang E"
"Indonesia","Karimunjawa core zone","All gears prohibited","Closed year-round","Low",521.5,"6","Taka Malang W"
"Indonesia","Karimunjawa core zone","All gears prohibited","Closed year-round","Low",521.5,"6","Taka Menyawakan E"
"Indonesia","Karimunjawa core zone","All gears prohibited","Closed year-round","Low",521.5,"6","Taka Menyawakan W"
"Indonesia","Karimunjawa core zone","All gears prohibited","Closed year-round","Low",521.5,"6","Tanjung Dua"
"Indonesia","Karimunjawa core zone","All gears prohibited","Closed year-round","Low",521.5,"6","Tanjung Sekoci"
"Indonesia","Karimunjawa core zone","All gears prohibited","Closed year-round","Low",521.5,"6","Kumbang 1"
"Indonesia","Karimunjawa core zone","All gears prohibited","Closed year-round","Low",521.5,"6","Kumbang 2"
"Indonesia","Karimunjawa core zone","All gears prohibited","Closed year-round","Low",521.5,"6","Kumbang 3"
"Indonesia","Karimunjawa protection","All gears prohibited","Closed year-round","Low",2602.9,"6","Cemara Besar 1"
"Indonesia","Karimunjawa protection","All gears prohibited","Closed year-round","Low",2602.9,"6","Cemara Kecil 2"
"Indonesia","Karimunjawa protection","All gears prohibited","Closed year-round","Low",2602.9,"6","Menjangan Kecil"
"Indonesia","Karimunjawa protection","All gears prohibited","Closed year-round","Low",2602.9,"6","Gosong Tengah"
"Indonesia","Karimunjawa protection","All gears prohibited","Closed year-round","Low",2602.9,"6","Karang Kapal"
"Indonesia","Karimunjawa protection","All gears prohibited","Closed year-round","Low",2602.9,"6","Nyamuk"
"Indonesia","Karimunjawa protection","All gears prohibited","Closed year-round","Low",2602.9,"6","Gosong Selikur 1"
"Indonesia","Karimunjawa protection","All gears prohibited","Closed year-round","Low",2602.9,"6","Gosong Selikur 2"
"Indonesia","Karimunjawa rehabilitation","All gears prohibited","Closed year-round","Medium to high",68.3,"6","Parang 1"
"Indonesia","Karimunjawa fisheries utilization","Moderate","None","High",111658.6,"6","Menjangan Besar"
"Indonesia","Karimunjawa fisheries utilization","Moderate","None","High",111658.6,"6","Pantai Nirwana"
"Indonesia","Karimunjawa fisheries utilization","Moderate","None","High",111658.6,"6","Tanjung Lemu"
"Indonesia","Karimunjawa fisheries utilization","Moderate","None","High",111658.6,"6","Batu Putih"
"Indonesia","Karimunjawa fisheries utilization","Moderate","None","High",111658.6,"6","Karang Katang"
"Indonesia","Karimunjawa fisheries utilization","Moderate","None","High",111658.6,"6","Parang 2"
"Indonesia","Karimunjawa tourism","All gears prohibited","Closed year-round","Medium to high",2776.2,"6","Burung"
"Indonesia","Karimunjawa tourism","All gears prohibited","Closed year-round","Medium to high",2776.2,"6","Cemara Besar 2"
"Indonesia","Karimunjawa tourism","All gears prohibited","Closed year-round","Medium to high",2776.2,"6","Cemara Kecil 1"
"Indonesia","Karimunjawa tourism","All gears prohibited","Closed year-round","Medium to high",2776.2,"6","Gelean"
"Indonesia","Karimunjawa tourism","All gears prohibited","Closed year-round","Medium to high",2776.2,"6","Menyawakan"
"Indonesia","Karimunjawa tourism","All gears prohibited","Closed year-round","Medium to high",2776.2,"6","Bengkoang"
"Indonesia","Karimunjawa tourism","All gears prohibited","Closed year-round","Medium to high",2776.2,"6","Kecil"
"Indonesia","Karimunjawa tourism","All gears prohibited","Closed year-round","Medium to high",2776.2,"6","Sintok 1"
"Indonesia","Karimunjawa tourism","All gears prohibited","Closed year-round","Medium to high",2776.2,"6","Sintok 2"
"Indonesia","Karimunjawa tourism","All gears prohibited","Closed year-round","Medium to high",2776.2,"6","Tengah"
"Indonesia","Karimunjawa tourism","All gears prohibited","Closed year-round","Medium to high",2776.2,"6","Katang 1"
"Indonesia","Karimunjawa tourism","All gears prohibited","Closed year-round","Medium to high",2776.2,"6","Katang 2"
"Indonesia","Karimunjawa tourism","All gears prohibited","Closed year-round","Medium to high",2776.2,"6","Kembar"
"Mauritius","Anse La Raie VMCA","All gears prohibited","Closed year-round","NA",69,"8","NA"
"Mauritius","Balaclava Marine Park no take","All gears prohibited","Closed year-round","Medium",485,"22","Balaclava shallow"
