,country,site,longitude,latitude,score,scorecn,scorecy,scorepfc,scoreth,scoretr,reefpct,grav_NC,sediment,nutrient,pop_count,num_ports,reef_value
57,Fiji,LV17,178.707905,-17.65351,-0.0069,-0.28398,-0.18636,0.18835,-0.08303,0.07859,0.0436,5.649633197,49.60815048,0.009785388,2230.739536,0,26
58,Fiji,NA02,178.82768,-17.72484,0.03747,0.97149,-0.1866,0.18735,-0.10604,0.20258,0.2528,5.392963294,34.1140976,0.00446845,6255.265456,2,66
59,Fiji,NA03,178.810043,-17.740185,0.03747,0.97149,-0.1866,0.18735,-0.10604,0.20258,0.2528,5.392963294,34.1140976,0.00446845,6255.265456,2,66
60,Fiji,NA05,178.85115,-17.72,0.0338,0.97149,-0.1866,0.18797,-0.15712,0.23032,0.044,4.540136187,25.96628952,0.003392614,4714.634567,2,8
61,Fiji,NA07,178.84105,-17.73409,0.03747,0.97149,-0.1866,0.18735,-0.10604,0.20258,0.2528,5.392963294,34.1140976,0.00446845,6255.265456,2,66
62,Fiji,VIR1,178.4793,-17.2792,0.0519,1.07939,-0.166,0.19896,0.01198,0.16201,0.0172,2.101999504,0,0.001009808,1.043792725,0,502
63,Fiji,VIR10,178.4892,-17.4785,0.06525,0.9512,-0.17,0.19382,0.20996,0.31822,0.0168,3.37989102,35.46508408,0.080053002,0,0,0
64,Fiji,VIR2,178.4637,-17.2764,0.0519,1.07939,-0.166,0.19896,0.01198,0.16201,0.0172,2.101999504,0,0.001009808,1.043792725,0,502
65,Fiji,VIR3,178.4553,-17.2878,0.0519,1.07939,-0.166,0.19896,0.01198,0.16201,0.0172,2.101999504,0,0.001009808,1.043792725,0,502
66,Fiji,VIR5,178.4642,-17.3133,0.05451,0.93114,-0.16626,0.19768,0.08948,0.27211,0.0028,2.341893144,0.056300547,0.006762815,1.043792725,0,213
67,Fiji,VIR6,178.4942,-17.4611,0.06525,0.9512,-0.17,0.19382,0.20996,0.31822,0.0168,3.37989102,35.46508408,0.080053002,0,0,0
68,Fiji,VIR7,178.4983,-17.4466,0.0641,0.93114,-0.16678,0.1951,0.19792,0.33902,0.01,2.980838903,10.26454067,0.052913539,0,0,0
69,Fiji,VIR8,178.4863,-17.4249,0.0641,0.93114,-0.16678,0.1951,0.19792,0.33902,0.01,2.980838903,10.26454067,0.052913539,0,0,0
70,Fiji,VIR9,178.4646,-17.3871,0.06099,0.93114,-0.16652,0.19639,0.15949,0.33198,0.0088,2.581786785,1.435894489,0.020634146,1.043792725,0,4
71,Fiji,VRI11,178.4398,-17.3589,0.04867,0.69708,-0.17661,0.19584,0.12633,0.27041,0.0076,2.764245537,7.128251553,0.056573614,0,0,5
72,Fiji,BuC1,178.708,-17.64,-0.00175,-0.28398,-0.17612,0.19057,-0.04054,0.15463,0.0116,4.338601233,35.60044861,0.007823652,1853.30547,0,9
73,Fiji,BuC2,178.703,-17.652,-0.0069,-0.28398,-0.18636,0.18835,-0.08303,0.07859,0.0436,5.649633197,49.60815048,0.009785388,2230.739536,0,26
