,mean,sd,hdi_25%,hdi_75%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,varname,fg
sediment[0],0.129,0.181,0.007,0.251,0.005,0.003,1520.0,1880.0,1.0,sediment[0],herbivore-detritivore
sediment[1],0.019,0.195,-0.106,0.15,0.004,0.003,2430.0,2087.0,1.0,sediment[1],herbivore-macroalgae
sediment[2],0.011,0.178,-0.098,0.132,0.004,0.003,1902.0,1967.0,1.0,sediment[2],invertivore-mobile
sediment[3],-0.039,0.181,-0.166,0.074,0.004,0.003,2179.0,2225.0,1.0,sediment[3],piscivore
sediment[4],0.168,0.174,0.068,0.294,0.004,0.003,1808.0,2174.0,1.0,sediment[4],planktivore
sediment[5],-0.173,0.173,-0.333,-0.095,0.004,0.003,1893.0,1892.0,1.0,sediment[5],omnivore
nut_load[0],-0.007,0.155,-0.089,0.116,0.004,0.003,1566.0,1889.0,1.0,nut_load[0],herbivore-detritivore
nut_load[1],-0.137,0.179,-0.257,-0.013,0.003,0.003,3200.0,2044.0,1.01,nut_load[1],herbivore-macroalgae
nut_load[2],-0.069,0.163,-0.163,0.056,0.003,0.003,2265.0,1593.0,1.0,nut_load[2],invertivore-mobile
nut_load[3],-0.002,0.168,-0.093,0.134,0.004,0.003,1859.0,1950.0,1.0,nut_load[3],piscivore
nut_load[4],0.077,0.178,-0.04,0.194,0.004,0.003,1968.0,2321.0,1.0,nut_load[4],planktivore
nut_load[5],0.154,0.193,0.042,0.3,0.005,0.003,1733.0,1756.0,1.0,nut_load[5],omnivore
depth[0],-0.165,0.152,-0.265,-0.062,0.004,0.003,1634.0,1863.0,1.0,depth[0],herbivore-detritivore
depth[1],0.04,0.179,-0.082,0.155,0.003,0.003,2944.0,2170.0,1.0,depth[1],herbivore-macroalgae
depth[2],-0.109,0.167,-0.245,-0.015,0.004,0.003,2068.0,2053.0,1.0,depth[2],invertivore-mobile
depth[3],0.112,0.172,-0.013,0.226,0.004,0.003,2380.0,2269.0,1.0,depth[3],piscivore
depth[4],0.174,0.16,0.086,0.299,0.004,0.003,1880.0,1984.0,1.0,depth[4],planktivore
depth[5],0.004,0.174,-0.096,0.135,0.004,0.003,1944.0,2287.0,1.0,depth[5],omnivore
"reeftype_x[0,0]",-0.364,0.542,-0.723,0.01,0.023,0.016,561.0,1188.0,1.01,barrier,herbivore-detritivore
"reeftype_x[0,1]",-0.06,0.544,-0.399,0.334,0.024,0.017,521.0,1066.0,1.0,barrier,herbivore-macroalgae
"reeftype_x[0,2]",-0.085,0.536,-0.409,0.311,0.023,0.016,542.0,1319.0,1.0,barrier,invertivore-mobile
"reeftype_x[0,3]",-0.225,0.52,-0.511,0.184,0.022,0.015,567.0,1417.0,1.01,barrier,piscivore
"reeftype_x[0,4]",-0.4,0.548,-0.805,-0.065,0.022,0.016,608.0,1154.0,1.0,barrier,planktivore
"reeftype_x[0,5]",0.401,0.523,0.079,0.769,0.016,0.012,1016.0,1706.0,1.0,barrier,omnivore
"reeftype_x[1,0]",0.215,0.535,-0.158,0.576,0.023,0.016,554.0,1157.0,1.01,fringing,herbivore-detritivore
"reeftype_x[1,1]",0.197,0.529,-0.176,0.525,0.025,0.017,457.0,1196.0,1.01,fringing,herbivore-macroalgae
"reeftype_x[1,2]",0.335,0.527,-0.033,0.675,0.023,0.017,511.0,1096.0,1.0,fringing,invertivore-mobile
"reeftype_x[1,3]",0.053,0.511,-0.264,0.425,0.021,0.015,570.0,1308.0,1.01,fringing,piscivore
"reeftype_x[1,4]",-0.511,0.545,-0.84,-0.121,0.022,0.016,592.0,1312.0,1.0,fringing,planktivore
"reeftype_x[1,5]",0.417,0.501,0.086,0.766,0.016,0.011,975.0,1547.0,1.0,fringing,omnivore
"reeftype_x[2,0]",0.279,0.656,-0.11,0.773,0.022,0.016,869.0,1654.0,1.0,lagoon,herbivore-detritivore
"reeftype_x[2,1]",0.012,0.659,-0.4,0.463,0.023,0.016,794.0,1910.0,1.0,lagoon,herbivore-macroalgae
"reeftype_x[2,2]",-0.455,0.652,-0.914,-0.028,0.02,0.014,1052.0,2009.0,1.0,lagoon,invertivore-mobile
"reeftype_x[2,3]",0.294,0.645,-0.178,0.67,0.02,0.014,1083.0,1951.0,1.0,lagoon,piscivore
"reeftype_x[2,4]",0.688,0.727,0.271,1.261,0.02,0.014,1353.0,1803.0,1.0,lagoon,planktivore
"reeftype_x[2,5]",-0.661,0.639,-1.19,-0.335,0.017,0.012,1417.0,1983.0,1.0,lagoon,omnivore
"reeftype_x[3,0]",0.051,0.56,-0.361,0.4,0.023,0.017,569.0,1394.0,1.01,patch,herbivore-detritivore
"reeftype_x[3,1]",-0.23,0.557,-0.548,0.187,0.023,0.016,606.0,1450.0,1.01,patch,herbivore-macroalgae
"reeftype_x[3,2]",0.336,0.546,-0.122,0.619,0.022,0.016,604.0,1311.0,1.0,patch,invertivore-mobile
"reeftype_x[3,3]",-0.17,0.531,-0.539,0.166,0.022,0.015,612.0,1360.0,1.01,patch,piscivore
"reeftype_x[3,4]",0.352,0.563,0.055,0.808,0.021,0.015,698.0,1459.0,1.0,patch,planktivore
"reeftype_x[3,5]",-0.216,0.519,-0.593,0.103,0.017,0.012,935.0,1788.0,1.0,patch,omnivore
"reefzone_x[0,0]",0.287,0.686,-0.185,0.735,0.028,0.02,616.0,1314.0,1.0,back reef,herbivore-detritivore
"reefzone_x[0,1]",0.032,0.695,-0.513,0.44,0.026,0.018,730.0,1638.0,1.0,back reef,herbivore-macroalgae
"reefzone_x[0,2]",0.217,0.721,-0.178,0.794,0.034,0.024,452.0,1328.0,1.0,back reef,invertivore-mobile
"reefzone_x[0,3]",-0.116,0.729,-0.613,0.345,0.034,0.024,467.0,1108.0,1.0,back reef,piscivore
"reefzone_x[0,4]",-0.071,0.735,-0.538,0.441,0.028,0.02,669.0,1329.0,1.0,back reef,planktivore
"reefzone_x[0,5]",0.001,0.717,-0.43,0.517,0.025,0.018,823.0,1292.0,1.0,back reef,omnivore
"reefzone_x[1,0]",-0.037,0.68,-0.603,0.317,0.031,0.022,489.0,957.0,1.0,fore reef,herbivore-detritivore
"reefzone_x[1,1]",-0.128,0.702,-0.5,0.436,0.03,0.021,552.0,1256.0,1.0,fore reef,herbivore-macroalgae
"reefzone_x[1,2]",-0.155,0.724,-0.598,0.373,0.037,0.026,383.0,988.0,1.0,fore reef,invertivore-mobile
"reefzone_x[1,3]",0.102,0.717,-0.395,0.57,0.038,0.027,365.0,725.0,1.0,fore reef,piscivore
"reefzone_x[1,4]",0.312,0.732,-0.229,0.757,0.031,0.022,555.0,967.0,1.0,fore reef,planktivore
"reefzone_x[1,5]",-0.021,0.702,-0.445,0.504,0.03,0.021,567.0,1007.0,1.0,fore reef,omnivore
"β0_cnc[0,0]",0.103,0.967,-0.43,0.805,0.016,0.018,3494.0,2025.0,1.0,Fiji,herbivore-detritivore
"β0_cnc[0,1]",-0.015,0.946,-0.647,0.624,0.014,0.018,4403.0,2524.0,1.0,Fiji,herbivore-macroalgae
"β0_cnc[0,2]",0.041,0.935,-0.507,0.734,0.014,0.017,4227.0,2448.0,1.0,Fiji,invertivore-mobile
"β0_cnc[0,3]",0.029,0.995,-0.606,0.703,0.016,0.02,3955.0,2068.0,1.0,Fiji,piscivore
"β0_cnc[0,4]",-0.1,1.005,-0.817,0.49,0.014,0.022,5327.0,2273.0,1.0,Fiji,planktivore
"β0_cnc[0,5]",0.034,0.98,-0.716,0.567,0.014,0.02,4696.0,1785.0,1.0,Fiji,omnivore
"β0_cnc[1,0]",-0.035,0.95,-0.656,0.618,0.015,0.019,4045.0,2117.0,1.0,Madagascar,herbivore-detritivore
"β0_cnc[1,1]",-0.025,0.991,-0.848,0.501,0.014,0.02,5388.0,2138.0,1.0,Madagascar,herbivore-macroalgae
"β0_cnc[1,2]",-0.026,1.002,-0.646,0.715,0.013,0.021,5855.0,2019.0,1.0,Madagascar,invertivore-mobile
"β0_cnc[1,3]",0.009,0.959,-0.51,0.765,0.013,0.02,5270.0,2293.0,1.0,Madagascar,piscivore
"β0_cnc[1,4]",0.057,0.968,-0.55,0.737,0.014,0.018,4513.0,2341.0,1.0,Madagascar,planktivore
"β0_cnc[1,5]",-0.083,1.006,-0.696,0.613,0.014,0.022,5157.0,1745.0,1.0,Madagascar,omnivore
"β0_cnc[2,0]",0.005,0.991,-0.712,0.622,0.014,0.019,4905.0,2311.0,1.0,Solomon Islands,herbivore-detritivore
"β0_cnc[2,1]",-0.046,0.984,-0.761,0.538,0.015,0.019,4395.0,2280.0,1.0,Solomon Islands,herbivore-macroalgae
"β0_cnc[2,2]",-0.036,0.996,-0.551,0.81,0.014,0.019,4796.0,2204.0,1.0,Solomon Islands,invertivore-mobile
"β0_cnc[2,3]",-0.007,0.968,-0.462,0.839,0.015,0.02,4395.0,2035.0,1.0,Solomon Islands,piscivore
"β0_cnc[2,4]",0.085,0.959,-0.493,0.804,0.015,0.017,4128.0,2251.0,1.0,Solomon Islands,planktivore
"β0_cnc[2,5]",-0.03,1.007,-0.756,0.579,0.016,0.021,4057.0,1945.0,1.0,Solomon Islands,omnivore
"β0_c[0,0]",1.973,1.051,1.271,2.645,0.053,0.037,401.0,1283.0,1.01,Fiji,herbivore-detritivore
"β0_c[0,1]",-0.466,1.04,-1.194,0.208,0.052,0.037,396.0,757.0,1.01,Fiji,herbivore-macroalgae
"β0_c[0,2]",0.513,1.05,-0.138,1.27,0.054,0.038,376.0,820.0,1.0,Fiji,invertivore-mobile
"β0_c[0,3]",-0.129,1.04,-0.744,0.636,0.056,0.04,343.0,747.0,1.01,Fiji,piscivore
"β0_c[0,4]",0.432,1.047,-0.034,1.347,0.048,0.034,481.0,999.0,1.0,Fiji,planktivore
"β0_c[0,5]",-0.064,1.002,-0.772,0.6,0.044,0.031,512.0,1230.0,1.01,Fiji,omnivore
"β0_c[1,0]",1.163,1.005,0.382,1.706,0.054,0.038,343.0,961.0,1.0,Madagascar,herbivore-detritivore
"β0_c[1,1]",-0.378,1.004,-1.046,0.302,0.052,0.037,370.0,806.0,1.01,Madagascar,herbivore-macroalgae
"β0_c[1,2]",0.248,1.033,-0.314,1.086,0.057,0.04,328.0,761.0,1.0,Madagascar,invertivore-mobile
"β0_c[1,3]",-0.178,0.992,-0.731,0.551,0.056,0.039,320.0,606.0,1.01,Madagascar,piscivore
"β0_c[1,4]",1.078,0.986,0.431,1.746,0.047,0.033,444.0,881.0,1.0,Madagascar,planktivore
"β0_c[1,5]",-0.544,0.94,-1.316,-0.031,0.042,0.03,492.0,962.0,1.0,Madagascar,omnivore
"β0_c[2,0]",1.496,1.078,0.66,2.082,0.053,0.037,421.0,1096.0,1.0,Solomon Islands,herbivore-detritivore
"β0_c[2,1]",-0.514,1.089,-1.333,0.127,0.055,0.039,394.0,810.0,1.01,Solomon Islands,herbivore-macroalgae
"β0_c[2,2]",0.3,1.095,-0.565,0.934,0.057,0.04,375.0,1095.0,1.0,Solomon Islands,invertivore-mobile
"β0_c[2,3]",-0.25,1.067,-1.107,0.352,0.057,0.04,348.0,702.0,1.01,Solomon Islands,piscivore
"β0_c[2,4]",1.194,1.064,0.488,1.947,0.048,0.034,497.0,1102.0,1.0,Solomon Islands,planktivore
"β0_c[2,5]",-0.359,1.03,-0.97,0.43,0.045,0.032,517.0,1048.0,1.0,Solomon Islands,omnivore
"β0_managenc[0,0]",0.172,1.017,-0.393,0.949,0.015,0.022,4692.0,2079.0,1.0,Fijino-take,herbivore-detritivore
"β0_managenc[0,1]",0.005,0.978,-0.655,0.618,0.014,0.018,4792.0,2265.0,1.0,Fijino-take,herbivore-macroalgae
"β0_managenc[0,2]",0.049,0.966,-0.68,0.578,0.014,0.02,5074.0,2072.0,1.0,Fijino-take,invertivore-mobile
"β0_managenc[0,3]",0.045,0.972,-0.741,0.589,0.016,0.018,3815.0,2286.0,1.0,Fijino-take,piscivore
"β0_managenc[0,4]",0.031,0.951,-0.661,0.59,0.016,0.02,3968.0,2053.0,1.0,Fijino-take,planktivore
"β0_managenc[0,5]",-0.031,0.999,-0.764,0.549,0.016,0.019,3768.0,2201.0,1.0,Fijino-take,omnivore
"β0_managenc[1,0]",-0.082,0.994,-0.824,0.489,0.015,0.02,4640.0,2113.0,1.0,Fijirestriction,herbivore-detritivore
"β0_managenc[1,1]",-0.026,0.982,-0.721,0.57,0.014,0.021,5087.0,1851.0,1.0,Fijirestriction,herbivore-macroalgae
"β0_managenc[1,2]",-0.038,1.01,-0.872,0.437,0.015,0.021,4551.0,2129.0,1.01,Fijirestriction,invertivore-mobile
"β0_managenc[1,3]",-0.005,0.955,-0.695,0.558,0.014,0.018,4527.0,2032.0,1.0,Fijirestriction,piscivore
"β0_managenc[1,4]",-0.093,1.027,-0.661,0.661,0.014,0.02,5182.0,2431.0,1.0,Fijirestriction,planktivore
"β0_managenc[1,5]",0.019,1.009,-0.557,0.836,0.015,0.02,4795.0,2232.0,1.01,Fijirestriction,omnivore
"β0_managenc[2,0]",-0.017,0.986,-0.592,0.723,0.014,0.022,4738.0,2171.0,1.0,Madagascarno-take,herbivore-detritivore
"β0_managenc[2,1]",0.015,1.013,-0.623,0.658,0.014,0.021,5355.0,2153.0,1.0,Madagascarno-take,herbivore-macroalgae
"β0_managenc[2,2]",-0.057,0.972,-0.773,0.545,0.014,0.019,4659.0,2291.0,1.0,Madagascarno-take,invertivore-mobile
"β0_managenc[2,3]",0.041,0.997,-0.597,0.734,0.014,0.02,5439.0,1994.0,1.0,Madagascarno-take,piscivore
"β0_managenc[2,4]",-0.077,0.987,-0.662,0.64,0.015,0.019,4649.0,2176.0,1.0,Madagascarno-take,planktivore
"β0_managenc[2,5]",-0.028,0.99,-0.804,0.523,0.014,0.02,4786.0,2135.0,1.0,Madagascarno-take,omnivore
"β0_managenc[3,0]",0.023,0.969,-0.697,0.629,0.014,0.02,4538.0,1940.0,1.0,Madagascaropen-access,herbivore-detritivore
"β0_managenc[3,1]",-0.071,0.991,-0.704,0.547,0.014,0.022,4992.0,2159.0,1.0,Madagascaropen-access,herbivore-macroalgae
"β0_managenc[3,2]",0.002,0.998,-0.671,0.663,0.015,0.018,4623.0,2582.0,1.0,Madagascaropen-access,invertivore-mobile
"β0_managenc[3,3]",-0.083,0.973,-0.784,0.534,0.014,0.02,5111.0,2069.0,1.0,Madagascaropen-access,piscivore
"β0_managenc[3,4]",0.07,0.993,-0.596,0.727,0.014,0.02,5015.0,1940.0,1.01,Madagascaropen-access,planktivore
"β0_managenc[3,5]",-0.062,0.976,-0.646,0.658,0.013,0.021,5858.0,2097.0,1.0,Madagascaropen-access,omnivore
"β0_managenc[4,0]",-0.037,1.012,-0.788,0.569,0.015,0.022,4265.0,2090.0,1.0,Madagascarrestriction,herbivore-detritivore
"β0_managenc[4,1]",0.017,0.98,-0.603,0.697,0.013,0.019,5773.0,2167.0,1.0,Madagascarrestriction,herbivore-macroalgae
"β0_managenc[4,2]",0.015,0.95,-0.697,0.561,0.012,0.019,6071.0,2245.0,1.0,Madagascarrestriction,invertivore-mobile
"β0_managenc[4,3]",0.03,0.985,-0.644,0.648,0.017,0.019,3545.0,1984.0,1.0,Madagascarrestriction,piscivore
"β0_managenc[4,4]",0.008,1.019,-0.586,0.727,0.014,0.022,5192.0,1982.0,1.0,Madagascarrestriction,planktivore
"β0_managenc[4,5]",0.031,0.97,-0.65,0.649,0.014,0.019,4788.0,2378.0,1.0,Madagascarrestriction,omnivore
"β0_managenc[5,0]",0.017,0.996,-0.713,0.585,0.015,0.019,4150.0,2378.0,1.0,Solomon Islandsno-take,herbivore-detritivore
"β0_managenc[5,1]",0.022,0.963,-0.515,0.776,0.016,0.019,3692.0,2212.0,1.0,Solomon Islandsno-take,herbivore-macroalgae
"β0_managenc[5,2]",0.02,1.004,-0.658,0.717,0.015,0.02,4172.0,2013.0,1.0,Solomon Islandsno-take,invertivore-mobile
"β0_managenc[5,3]",0.04,0.981,-0.682,0.616,0.014,0.02,4683.0,2037.0,1.0,Solomon Islandsno-take,piscivore
"β0_managenc[5,4]",0.098,0.97,-0.474,0.865,0.013,0.021,5245.0,2123.0,1.0,Solomon Islandsno-take,planktivore
"β0_managenc[5,5]",0.055,0.991,-0.72,0.618,0.014,0.021,4975.0,2016.0,1.0,Solomon Islandsno-take,omnivore
"β0_managenc[6,0]",-0.003,0.984,-0.629,0.641,0.015,0.018,4479.0,2376.0,1.0,Solomon Islandsrestriction,herbivore-detritivore
"β0_managenc[6,1]",-0.042,1.017,-0.659,0.726,0.015,0.02,4874.0,2118.0,1.0,Solomon Islandsrestriction,herbivore-macroalgae
"β0_managenc[6,2]",-0.004,1.041,-0.511,0.891,0.014,0.023,5390.0,1986.0,1.0,Solomon Islandsrestriction,invertivore-mobile
"β0_managenc[6,3]",0.01,0.992,-0.616,0.677,0.013,0.021,5595.0,2178.0,1.0,Solomon Islandsrestriction,piscivore
"β0_managenc[6,4]",-0.012,0.978,-0.595,0.72,0.013,0.02,5759.0,2153.0,1.0,Solomon Islandsrestriction,planktivore
"β0_managenc[6,5]",-0.05,0.966,-0.654,0.627,0.013,0.02,5277.0,2110.0,1.0,Solomon Islandsrestriction,omnivore
"β0_manage[0,0]",2.95,0.93,2.273,3.504,0.052,0.037,318.0,852.0,1.01,Fijino-take,herbivore-detritivore
"β0_manage[0,1]",-0.369,0.944,-0.745,0.535,0.051,0.036,339.0,814.0,1.01,Fijino-take,herbivore-macroalgae
"β0_manage[0,2]",0.869,0.956,0.176,1.451,0.056,0.039,295.0,706.0,1.0,Fijino-take,invertivore-mobile
"β0_manage[0,3]",0.066,0.925,-0.633,0.581,0.055,0.039,288.0,659.0,1.01,Fijino-take,piscivore
"β0_manage[0,4]",0.741,0.944,0.127,1.377,0.048,0.034,391.0,883.0,1.0,Fijino-take,planktivore
"β0_manage[0,5]",-0.063,0.887,-0.631,0.563,0.041,0.029,460.0,815.0,1.01,Fijino-take,omnivore
"β0_manage[1,0]",1.514,0.857,0.927,2.061,0.049,0.035,309.0,719.0,1.01,Fijirestriction,herbivore-detritivore
"β0_manage[1,1]",-0.574,0.843,-1.113,0.027,0.052,0.037,264.0,570.0,1.01,Fijirestriction,herbivore-macroalgae
"β0_manage[1,2]",0.341,0.893,-0.266,0.942,0.054,0.038,273.0,684.0,1.01,Fijirestriction,invertivore-mobile
"β0_manage[1,3]",-0.317,0.838,-0.958,0.155,0.052,0.037,256.0,524.0,1.01,Fijirestriction,piscivore
"β0_manage[1,4]",-0.229,0.848,-0.886,0.233,0.045,0.032,355.0,725.0,1.01,Fijirestriction,planktivore
"β0_manage[1,5]",0.137,0.791,-0.367,0.701,0.04,0.028,391.0,668.0,1.01,Fijirestriction,omnivore
"β0_manage[2,0]",1.001,0.881,0.353,1.541,0.05,0.036,307.0,805.0,1.01,Madagascarno-take,herbivore-detritivore
"β0_manage[2,1]",-0.221,0.879,-0.892,0.267,0.052,0.037,286.0,574.0,1.01,Madagascarno-take,herbivore-macroalgae
"β0_manage[2,2]",-0.016,0.925,-0.775,0.475,0.055,0.039,281.0,681.0,1.0,Madagascarno-take,invertivore-mobile
"β0_manage[2,3]",0.027,0.884,-0.532,0.629,0.054,0.038,271.0,535.0,1.01,Madagascarno-take,piscivore
"β0_manage[2,4]",0.762,0.877,0.261,1.426,0.045,0.032,374.0,835.0,1.0,Madagascarno-take,planktivore
"β0_manage[2,5]",-0.587,0.835,-1.14,-0.027,0.042,0.03,396.0,734.0,1.01,Madagascarno-take,omnivore
"β0_manage[3,0]",1.304,0.954,0.671,1.943,0.053,0.037,326.0,842.0,1.0,Madagascaropen-access,herbivore-detritivore
"β0_manage[3,1]",-0.781,0.935,-1.457,-0.193,0.051,0.036,338.0,753.0,1.01,Madagascaropen-access,herbivore-macroalgae
"β0_manage[3,2]",0.396,0.988,-0.216,1.106,0.054,0.038,334.0,1113.0,1.01,Madagascaropen-access,invertivore-mobile
"β0_manage[3,3]",-0.607,0.946,-1.433,-0.182,0.055,0.039,293.0,597.0,1.01,Madagascaropen-access,piscivore
"β0_manage[3,4]",1.584,0.959,1.066,2.321,0.047,0.033,418.0,1024.0,1.0,Madagascaropen-access,planktivore
"β0_manage[3,5]",-0.928,0.921,-1.63,-0.409,0.043,0.031,457.0,920.0,1.0,Madagascaropen-access,omnivore
"β0_manage[4,0]",0.915,0.883,0.308,1.509,0.051,0.036,307.0,815.0,1.01,Madagascarrestriction,herbivore-detritivore
"β0_manage[4,1]",-0.157,0.879,-0.718,0.483,0.052,0.037,283.0,515.0,1.01,Madagascarrestriction,herbivore-macroalgae
"β0_manage[4,2]",0.306,0.928,-0.376,0.872,0.055,0.039,284.0,719.0,1.0,Madagascarrestriction,invertivore-mobile
"β0_manage[4,3]",0.059,0.878,-0.552,0.593,0.054,0.038,265.0,533.0,1.01,Madagascarrestriction,piscivore
"β0_manage[4,4]",1.108,0.881,0.661,1.81,0.045,0.032,375.0,764.0,1.0,Madagascarrestriction,planktivore
"β0_manage[4,5]",-0.35,0.839,-0.848,0.278,0.041,0.029,413.0,729.0,1.01,Madagascarrestriction,omnivore
"β0_manage[5,0]",1.665,1.112,0.996,2.478,0.055,0.039,403.0,1121.0,1.0,Solomon Islandsno-take,herbivore-detritivore
"β0_manage[5,1]",-0.309,1.196,-1.041,0.562,0.058,0.041,430.0,990.0,1.0,Solomon Islandsno-take,herbivore-macroalgae
"β0_manage[5,2]",0.319,1.161,-0.327,1.228,0.056,0.04,431.0,1126.0,1.0,Solomon Islandsno-take,invertivore-mobile
"β0_manage[5,3]",-0.267,1.117,-0.932,0.586,0.057,0.041,377.0,801.0,1.0,Solomon Islandsno-take,piscivore
"β0_manage[5,4]",1.71,1.157,1.144,2.699,0.051,0.036,519.0,1345.0,1.0,Solomon Islandsno-take,planktivore
"β0_manage[5,5]",-0.063,1.136,-0.668,0.816,0.051,0.036,507.0,1286.0,1.0,Solomon Islandsno-take,omnivore
