,mean,sd,hdi_25%,hdi_75%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,varname,fg
gravity[5],-0.072,0.173,-0.182,0.051,0.004,0.003,1926.0,2288.0,1.0,gravity[5],omnivore
sediment[0],0.089,0.169,-0.033,0.189,0.004,0.003,1890.0,2054.0,1.0,sediment[0],herbivore-detritivore
sediment[1],-0.019,0.183,-0.15,0.097,0.004,0.003,2098.0,2249.0,1.0,sediment[1],herbivore-macroalgae
sediment[2],0.03,0.172,-0.081,0.155,0.004,0.003,2051.0,2193.0,1.0,sediment[2],invertivore-mobile
sediment[3],-0.116,0.169,-0.228,-0.005,0.004,0.003,2208.0,2371.0,1.0,sediment[3],piscivore
sediment[4],0.166,0.177,0.04,0.268,0.004,0.003,1999.0,1943.0,1.0,sediment[4],planktivore
sediment[5],0.035,0.171,-0.075,0.156,0.004,0.003,2182.0,2270.0,1.0,sediment[5],omnivore
nut_load[0],0.038,0.157,-0.068,0.145,0.004,0.003,1780.0,2019.0,1.0,nut_load[0],herbivore-detritivore
nut_load[1],0.01,0.167,-0.089,0.143,0.003,0.003,2867.0,2030.0,1.0,nut_load[1],herbivore-macroalgae
nut_load[2],-0.156,0.158,-0.263,-0.051,0.004,0.003,2042.0,2259.0,1.0,nut_load[2],invertivore-mobile
nut_load[3],0.034,0.173,-0.092,0.139,0.003,0.003,2592.0,1911.0,1.0,nut_load[3],piscivore
nut_load[4],-0.031,0.171,-0.115,0.116,0.004,0.003,2220.0,2166.0,1.0,nut_load[4],planktivore
nut_load[5],-0.106,0.184,-0.241,0.002,0.004,0.003,2059.0,2192.0,1.0,nut_load[5],omnivore
depth[0],0.078,0.14,-0.013,0.171,0.003,0.002,1690.0,2315.0,1.0,depth[0],herbivore-detritivore
depth[1],0.148,0.168,0.023,0.248,0.003,0.003,2422.0,1804.0,1.0,depth[1],herbivore-macroalgae
depth[2],0.01,0.163,-0.117,0.102,0.004,0.003,1598.0,2262.0,1.0,depth[2],invertivore-mobile
depth[3],0.287,0.16,0.19,0.397,0.003,0.003,2117.0,1972.0,1.0,depth[3],piscivore
depth[4],0.237,0.145,0.113,0.308,0.003,0.002,1970.0,2363.0,1.0,depth[4],planktivore
depth[5],0.083,0.168,-0.016,0.208,0.004,0.003,2268.0,2244.0,1.0,depth[5],omnivore
"reeftype_x[0,0]",-0.156,0.508,-0.529,0.164,0.018,0.013,762.0,1318.0,1.0,barrier,herbivore-detritivore
"reeftype_x[0,1]",0.071,0.537,-0.291,0.418,0.021,0.015,663.0,1438.0,1.0,barrier,herbivore-macroalgae
"reeftype_x[0,2]",-0.063,0.53,-0.381,0.324,0.019,0.013,819.0,1625.0,1.0,barrier,invertivore-mobile
"reeftype_x[0,3]",-0.328,0.523,-0.732,-0.029,0.017,0.012,912.0,1404.0,1.0,barrier,piscivore
"reeftype_x[0,4]",-0.292,0.516,-0.526,0.19,0.016,0.011,1034.0,1741.0,1.0,barrier,planktivore
"reeftype_x[0,5]",0.48,0.53,0.158,0.86,0.018,0.013,882.0,1681.0,1.0,barrier,omnivore
"reeftype_x[1,0]",0.324,0.495,0.027,0.69,0.018,0.013,739.0,1264.0,1.0,fringing,herbivore-detritivore
"reeftype_x[1,1]",0.159,0.524,-0.168,0.542,0.02,0.014,694.0,1349.0,1.0,fringing,herbivore-macroalgae
"reeftype_x[1,2]",0.378,0.522,-0.028,0.681,0.018,0.013,802.0,1456.0,1.0,fringing,invertivore-mobile
"reeftype_x[1,3]",-0.004,0.517,-0.356,0.344,0.018,0.012,866.0,1538.0,1.0,fringing,piscivore
"reeftype_x[1,4]",-0.166,0.498,-0.428,0.247,0.016,0.011,1027.0,1950.0,1.0,fringing,planktivore
"reeftype_x[1,5]",0.421,0.518,0.001,0.69,0.017,0.012,903.0,1557.0,1.0,fringing,omnivore
"reeftype_x[2,0]",0.13,0.594,-0.227,0.551,0.017,0.012,1153.0,1687.0,1.0,lagoon,herbivore-detritivore
"reeftype_x[2,1]",-0.047,0.626,-0.381,0.435,0.018,0.013,1186.0,1616.0,1.0,lagoon,herbivore-macroalgae
"reeftype_x[2,2]",-0.659,0.651,-1.125,-0.27,0.018,0.013,1271.0,2157.0,1.0,lagoon,invertivore-mobile
"reeftype_x[2,3]",0.467,0.639,0.1,0.942,0.017,0.012,1480.0,2028.0,1.0,lagoon,piscivore
"reeftype_x[2,4]",0.556,0.628,0.101,0.943,0.017,0.012,1369.0,2162.0,1.0,lagoon,planktivore
"reeftype_x[2,5]",-0.679,0.625,-1.185,-0.352,0.018,0.013,1171.0,1910.0,1.0,lagoon,omnivore
"reeftype_x[3,0]",0.04,0.523,-0.346,0.328,0.019,0.013,755.0,1351.0,1.0,patch,herbivore-detritivore
"reeftype_x[3,1]",-0.277,0.543,-0.563,0.158,0.02,0.014,738.0,1424.0,1.0,patch,herbivore-macroalgae
"reeftype_x[3,2]",0.377,0.547,0.008,0.753,0.019,0.013,846.0,1621.0,1.0,patch,invertivore-mobile
"reeftype_x[3,3]",-0.103,0.547,-0.403,0.352,0.018,0.013,935.0,1765.0,1.0,patch,piscivore
"reeftype_x[3,4]",0.038,0.521,-0.345,0.353,0.016,0.011,1101.0,1936.0,1.0,patch,planktivore
"reeftype_x[3,5]",-0.129,0.529,-0.472,0.22,0.018,0.013,865.0,1577.0,1.0,patch,omnivore
"reefzone_x[0,0]",0.423,0.696,0.026,0.964,0.025,0.018,746.0,1281.0,1.0,back reef,herbivore-detritivore
"reefzone_x[0,1]",0.089,0.729,-0.411,0.548,0.027,0.019,757.0,1319.0,1.0,back reef,herbivore-macroalgae
"reefzone_x[0,2]",0.277,0.712,-0.274,0.671,0.029,0.02,607.0,1048.0,1.0,back reef,invertivore-mobile
"reefzone_x[0,3]",-0.177,0.709,-0.691,0.248,0.028,0.02,633.0,1317.0,1.0,back reef,piscivore
"reefzone_x[0,4]",0.047,0.684,-0.449,0.448,0.025,0.017,763.0,1771.0,1.0,back reef,planktivore
"reefzone_x[0,5]",0.161,0.697,-0.255,0.654,0.024,0.017,874.0,1524.0,1.0,back reef,omnivore
"reefzone_x[1,0]",-0.067,0.689,-0.528,0.383,0.028,0.02,613.0,1036.0,1.01,fore reef,herbivore-detritivore
"reefzone_x[1,1]",-0.132,0.719,-0.672,0.281,0.03,0.021,577.0,1124.0,1.01,fore reef,herbivore-macroalgae
"reefzone_x[1,2]",-0.172,0.69,-0.632,0.252,0.03,0.021,533.0,1008.0,1.0,fore reef,invertivore-mobile
"reefzone_x[1,3]",0.131,0.709,-0.385,0.575,0.03,0.021,573.0,1144.0,1.0,fore reef,piscivore
"reefzone_x[1,4]",0.117,0.671,-0.302,0.601,0.026,0.018,677.0,1433.0,1.0,fore reef,planktivore
"reefzone_x[1,5]",-0.102,0.693,-0.564,0.351,0.025,0.018,743.0,1239.0,1.0,fore reef,omnivore
"β0_cnc[0,0]",0.073,0.983,-0.405,0.905,0.014,0.019,4858.0,2352.0,1.0,Fiji,herbivore-detritivore
"β0_cnc[0,1]",0.007,0.981,-0.536,0.753,0.015,0.02,4547.0,2191.0,1.0,Fiji,herbivore-macroalgae
"β0_cnc[0,2]",0.032,0.984,-0.652,0.672,0.015,0.019,4281.0,2071.0,1.0,Fiji,invertivore-mobile
"β0_cnc[0,3]",0.031,0.968,-0.704,0.59,0.015,0.018,4451.0,2227.0,1.0,Fiji,piscivore
"β0_cnc[0,4]",-0.09,0.957,-0.634,0.691,0.014,0.016,4877.0,2486.0,1.0,Fiji,planktivore
"β0_cnc[0,5]",0.003,0.975,-0.626,0.675,0.014,0.022,4570.0,2035.0,1.0,Fiji,omnivore
"β0_cnc[1,0]",0.009,0.996,-0.495,0.853,0.013,0.021,5821.0,1979.0,1.0,Madagascar,herbivore-detritivore
"β0_cnc[1,1]",-0.016,1.029,-0.708,0.626,0.016,0.022,4390.0,2083.0,1.0,Madagascar,herbivore-macroalgae
"β0_cnc[1,2]",0.013,0.975,-0.522,0.754,0.015,0.02,4449.0,2300.0,1.0,Madagascar,invertivore-mobile
"β0_cnc[1,3]",-0.01,0.99,-0.573,0.786,0.015,0.019,4600.0,2422.0,1.0,Madagascar,piscivore
"β0_cnc[1,4]",0.089,0.988,-0.503,0.793,0.014,0.02,4781.0,2131.0,1.0,Madagascar,planktivore
"β0_cnc[1,5]",0.027,0.966,-0.611,0.64,0.014,0.018,4801.0,2244.0,1.0,Madagascar,omnivore
"β0_cnc[2,0]",-0.02,0.946,-0.734,0.518,0.015,0.021,4123.0,2158.0,1.0,Solomon Islands,herbivore-detritivore
"β0_cnc[2,1]",-0.02,0.953,-0.696,0.593,0.013,0.019,5475.0,2126.0,1.0,Solomon Islands,herbivore-macroalgae
"β0_cnc[2,2]",0.004,0.983,-0.597,0.734,0.013,0.019,5718.0,2135.0,1.0,Solomon Islands,invertivore-mobile
"β0_cnc[2,3]",0.018,0.961,-0.6,0.67,0.015,0.019,4095.0,1979.0,1.0,Solomon Islands,piscivore
"β0_cnc[2,4]",0.078,1.003,-0.546,0.776,0.014,0.018,4952.0,2424.0,1.0,Solomon Islands,planktivore
"β0_cnc[2,5]",0.015,0.974,-0.542,0.762,0.015,0.018,4441.0,2497.0,1.0,Solomon Islands,omnivore
"β0_c[0,0]",1.311,0.999,0.742,2.07,0.04,0.028,637.0,1490.0,1.01,Fiji,herbivore-detritivore
"β0_c[0,1]",-0.18,1.044,-0.874,0.603,0.046,0.032,526.0,1364.0,1.01,Fiji,herbivore-macroalgae
"β0_c[0,2]",0.988,1.015,0.152,1.494,0.043,0.031,544.0,968.0,1.0,Fiji,invertivore-mobile
"β0_c[0,3]",0.465,1.034,-0.28,1.109,0.045,0.032,539.0,1042.0,1.0,Fiji,piscivore
"β0_c[0,4]",0.35,0.968,-0.332,0.953,0.039,0.027,630.0,1131.0,1.0,Fiji,planktivore
"β0_c[0,5]",0.226,0.999,-0.495,0.81,0.038,0.027,673.0,1325.0,1.0,Fiji,omnivore
"β0_c[1,0]",1.024,0.93,0.37,1.62,0.039,0.028,572.0,1117.0,1.01,Madagascar,herbivore-detritivore
"β0_c[1,1]",-0.182,0.997,-0.807,0.512,0.048,0.034,430.0,1028.0,1.01,Madagascar,herbivore-macroalgae
"β0_c[1,2]",0.917,0.974,0.154,1.416,0.043,0.031,507.0,852.0,1.0,Madagascar,invertivore-mobile
"β0_c[1,3]",0.353,0.975,-0.469,0.853,0.045,0.032,460.0,859.0,1.0,Madagascar,piscivore
"β0_c[1,4]",1.232,0.899,0.623,1.836,0.034,0.024,701.0,1349.0,1.0,Madagascar,planktivore
"β0_c[1,5]",0.235,0.948,-0.268,0.998,0.038,0.027,610.0,1186.0,1.0,Madagascar,omnivore
"β0_c[2,0]",1.068,1.013,0.478,1.813,0.04,0.028,635.0,1117.0,1.01,Solomon Islands,herbivore-detritivore
"β0_c[2,1]",-0.263,1.072,-1.067,0.358,0.047,0.034,510.0,1150.0,1.01,Solomon Islands,herbivore-macroalgae
"β0_c[2,2]",0.834,1.066,0.114,1.53,0.044,0.031,578.0,1051.0,1.0,Solomon Islands,invertivore-mobile
"β0_c[2,3]",0.495,1.051,-0.135,1.306,0.044,0.031,566.0,1131.0,1.0,Solomon Islands,piscivore
"β0_c[2,4]",1.13,0.984,0.524,1.86,0.037,0.026,691.0,1425.0,1.0,Solomon Islands,planktivore
"β0_c[2,5]",0.181,1.029,-0.51,0.855,0.039,0.028,685.0,1453.0,1.0,Solomon Islands,omnivore
"β0_managenc[0,0]",0.106,0.996,-0.711,0.634,0.014,0.02,4759.0,1893.0,1.0,Fijino-take,herbivore-detritivore
"β0_managenc[0,1]",-0.006,1.01,-0.672,0.662,0.015,0.02,4503.0,2327.0,1.0,Fijino-take,herbivore-macroalgae
"β0_managenc[0,2]",0.083,1.024,-0.655,0.673,0.015,0.02,4968.0,2127.0,1.0,Fijino-take,invertivore-mobile
"β0_managenc[0,3]",0.045,1.0,-0.674,0.628,0.015,0.021,4530.0,2135.0,1.0,Fijino-take,piscivore
"β0_managenc[0,4]",-0.008,1.019,-0.6,0.806,0.015,0.023,4370.0,1768.0,1.0,Fijino-take,planktivore
"β0_managenc[0,5]",0.005,0.983,-0.566,0.76,0.014,0.019,4621.0,2142.0,1.0,Fijino-take,omnivore
"β0_managenc[1,0]",-0.046,0.977,-0.726,0.552,0.013,0.02,5534.0,2145.0,1.0,Fijirestriction,herbivore-detritivore
"β0_managenc[1,1]",-0.01,1.0,-0.668,0.63,0.016,0.022,3919.0,1949.0,1.0,Fijirestriction,herbivore-macroalgae
"β0_managenc[1,2]",-0.028,0.982,-0.681,0.615,0.015,0.022,4149.0,1775.0,1.0,Fijirestriction,invertivore-mobile
"β0_managenc[1,3]",-0.064,0.968,-0.576,0.735,0.015,0.021,4092.0,1798.0,1.0,Fijirestriction,piscivore
"β0_managenc[1,4]",-0.044,1.006,-0.778,0.561,0.014,0.02,5500.0,2462.0,1.01,Fijirestriction,planktivore
"β0_managenc[1,5]",0.037,1.006,-0.582,0.785,0.014,0.02,5043.0,2229.0,1.0,Fijirestriction,omnivore
"β0_managenc[2,0]",-0.02,0.948,-0.653,0.6,0.013,0.018,5308.0,2125.0,1.0,Madagascarno-take,herbivore-detritivore
"β0_managenc[2,1]",0.05,0.991,-0.536,0.797,0.013,0.02,5925.0,2236.0,1.0,Madagascarno-take,herbivore-macroalgae
"β0_managenc[2,2]",-0.036,0.947,-0.588,0.663,0.015,0.018,3816.0,2101.0,1.0,Madagascarno-take,invertivore-mobile
"β0_managenc[2,3]",0.058,1.003,-0.495,0.837,0.015,0.02,4323.0,2475.0,1.0,Madagascarno-take,piscivore
"β0_managenc[2,4]",-0.088,1.018,-0.914,0.454,0.017,0.019,3805.0,2026.0,1.0,Madagascarno-take,planktivore
"β0_managenc[2,5]",-0.048,0.968,-0.774,0.535,0.015,0.019,4389.0,2005.0,1.0,Madagascarno-take,omnivore
"β0_managenc[3,0]",0.113,0.98,-0.564,0.742,0.014,0.021,4876.0,2030.0,1.0,Madagascaropen-access,herbivore-detritivore
"β0_managenc[3,1]",-0.013,0.965,-0.544,0.74,0.013,0.022,5239.0,1782.0,1.0,Madagascaropen-access,herbivore-macroalgae
"β0_managenc[3,2]",0.087,0.992,-0.607,0.746,0.013,0.021,5875.0,1884.0,1.0,Madagascaropen-access,invertivore-mobile
"β0_managenc[3,3]",-0.061,0.988,-0.797,0.523,0.014,0.019,4880.0,2325.0,1.0,Madagascaropen-access,piscivore
"β0_managenc[3,4]",0.136,0.996,-0.595,0.735,0.012,0.019,6371.0,2199.0,1.0,Madagascaropen-access,planktivore
"β0_managenc[3,5]",0.061,0.994,-0.599,0.755,0.014,0.02,5024.0,2115.0,1.0,Madagascaropen-access,omnivore
"β0_managenc[4,0]",-0.056,0.993,-0.79,0.555,0.014,0.02,4936.0,2316.0,1.0,Madagascarrestriction,herbivore-detritivore
"β0_managenc[4,1]",-0.005,1.009,-0.863,0.495,0.014,0.022,5484.0,1886.0,1.0,Madagascarrestriction,herbivore-macroalgae
"β0_managenc[4,2]",-0.003,1.006,-0.718,0.636,0.016,0.02,4098.0,2084.0,1.0,Madagascarrestriction,invertivore-mobile
"β0_managenc[4,3]",0.009,0.958,-0.755,0.515,0.015,0.017,4181.0,2511.0,1.0,Madagascarrestriction,piscivore
"β0_managenc[4,4]",0.003,0.975,-0.7,0.6,0.014,0.02,4797.0,2099.0,1.0,Madagascarrestriction,planktivore
"β0_managenc[4,5]",-0.009,0.993,-0.662,0.712,0.014,0.019,5009.0,2273.0,1.0,Madagascarrestriction,omnivore
"β0_managenc[5,0]",-0.014,0.995,-0.702,0.612,0.016,0.02,4138.0,2107.0,1.0,Solomon Islandsno-take,herbivore-detritivore
"β0_managenc[5,1]",0.033,0.954,-0.541,0.709,0.014,0.019,4404.0,2313.0,1.0,Solomon Islandsno-take,herbivore-macroalgae
"β0_managenc[5,2]",0.013,0.994,-0.821,0.506,0.015,0.02,4698.0,1907.0,1.0,Solomon Islandsno-take,invertivore-mobile
"β0_managenc[5,3]",0.01,1.006,-0.527,0.815,0.015,0.021,4441.0,2043.0,1.0,Solomon Islandsno-take,piscivore
"β0_managenc[5,4]",0.098,0.987,-0.512,0.797,0.016,0.021,3741.0,2087.0,1.0,Solomon Islandsno-take,planktivore
"β0_managenc[5,5]",0.052,1.007,-0.541,0.765,0.014,0.02,4856.0,2214.0,1.0,Solomon Islandsno-take,omnivore
"β0_managenc[6,0]",-0.002,0.979,-0.55,0.717,0.013,0.021,5649.0,2060.0,1.0,Solomon Islandsrestriction,herbivore-detritivore
"β0_managenc[6,1]",-0.024,1.007,-0.845,0.52,0.016,0.02,3878.0,2006.0,1.0,Solomon Islandsrestriction,herbivore-macroalgae
"β0_managenc[6,2]",-0.025,0.967,-0.676,0.633,0.015,0.019,4215.0,2326.0,1.0,Solomon Islandsrestriction,invertivore-mobile
"β0_managenc[6,3]",0.015,1.009,-0.634,0.68,0.014,0.021,5440.0,2228.0,1.0,Solomon Islandsrestriction,piscivore
"β0_managenc[6,4]",-0.043,0.97,-0.503,0.792,0.012,0.019,6042.0,2127.0,1.0,Solomon Islandsrestriction,planktivore
"β0_managenc[6,5]",-0.055,0.967,-0.644,0.641,0.012,0.019,6596.0,2222.0,1.0,Solomon Islandsrestriction,omnivore
"β0_manage[0,0]",1.908,0.874,1.302,2.475,0.04,0.028,473.0,882.0,1.01,Fijino-take,herbivore-detritivore
"β0_manage[0,1]",-0.157,0.939,-0.599,0.675,0.047,0.033,400.0,887.0,1.01,Fijino-take,herbivore-macroalgae
"β0_manage[0,2]",1.425,0.892,0.903,2.041,0.042,0.03,444.0,676.0,1.0,Fijino-take,invertivore-mobile
"β0_manage[0,3]",0.731,0.91,0.145,1.325,0.043,0.03,453.0,831.0,1.0,Fijino-take,piscivore
"β0_manage[0,4]",0.273,0.844,-0.335,0.827,0.037,0.026,517.0,1056.0,1.0,Fijino-take,planktivore
"β0_manage[0,5]",0.209,0.897,-0.361,0.809,0.04,0.028,514.0,996.0,1.0,Fijino-take,omnivore
"β0_manage[1,0]",0.972,0.798,0.502,1.589,0.039,0.027,424.0,879.0,1.01,Fijirestriction,herbivore-detritivore
"β0_manage[1,1]",-0.193,0.845,-0.569,0.585,0.044,0.031,372.0,883.0,1.01,Fijirestriction,herbivore-macroalgae
"β0_manage[1,2]",0.696,0.839,0.098,1.182,0.042,0.03,397.0,620.0,1.0,Fijirestriction,invertivore-mobile
"β0_manage[1,3]",0.239,0.826,-0.348,0.727,0.043,0.03,371.0,698.0,1.0,Fijirestriction,piscivore
"β0_manage[1,4]",-0.004,0.761,-0.378,0.659,0.035,0.025,482.0,1050.0,1.0,Fijirestriction,planktivore
"β0_manage[1,5]",0.301,0.809,-0.158,0.916,0.037,0.026,477.0,935.0,1.0,Fijirestriction,omnivore
"β0_manage[2,0]",0.913,0.824,0.388,1.481,0.039,0.027,457.0,889.0,1.01,Madagascarno-take,herbivore-detritivore
"β0_manage[2,1]",0.041,0.878,-0.463,0.718,0.045,0.032,384.0,864.0,1.01,Madagascarno-take,herbivore-macroalgae
"β0_manage[2,2]",0.663,0.871,0.197,1.318,0.043,0.03,411.0,686.0,1.0,Madagascarno-take,invertivore-mobile
"β0_manage[2,3]",0.677,0.86,0.06,1.167,0.044,0.031,378.0,808.0,1.0,Madagascarno-take,piscivore
"β0_manage[2,4]",0.902,0.788,0.395,1.466,0.036,0.025,491.0,1069.0,1.0,Madagascarno-take,planktivore
"β0_manage[2,5]",-0.05,0.843,-0.519,0.62,0.038,0.027,504.0,993.0,1.0,Madagascarno-take,omnivore
"β0_manage[3,0]",1.532,0.879,1.027,2.203,0.039,0.027,512.0,1127.0,1.01,Madagascaropen-access,herbivore-detritivore
"β0_manage[3,1]",-0.377,0.957,-0.951,0.308,0.047,0.033,414.0,1053.0,1.01,Madagascaropen-access,herbivore-macroalgae
"β0_manage[3,2]",1.406,0.93,0.91,2.137,0.043,0.031,463.0,722.0,1.0,Madagascaropen-access,invertivore-mobile
"β0_manage[3,3]",-0.031,0.918,-0.615,0.588,0.044,0.031,436.0,930.0,1.0,Madagascaropen-access,piscivore
"β0_manage[3,4]",2.081,0.842,1.595,2.71,0.035,0.025,564.0,948.0,1.0,Madagascaropen-access,planktivore
"β0_manage[3,5]",0.635,0.918,0.13,1.319,0.039,0.028,557.0,1174.0,1.0,Madagascaropen-access,omnivore
"β0_manage[4,0]",0.641,0.821,0.183,1.285,0.039,0.027,451.0,819.0,1.01,Madagascarrestriction,herbivore-detritivore
"β0_manage[4,1]",-0.186,0.88,-0.814,0.388,0.046,0.032,372.0,916.0,1.01,Madagascarrestriction,herbivore-macroalgae
"β0_manage[4,2]",0.783,0.864,0.331,1.461,0.042,0.03,414.0,671.0,1.0,Madagascarrestriction,invertivore-mobile
"β0_manage[4,3]",0.348,0.859,-0.149,0.975,0.044,0.031,384.0,719.0,1.0,Madagascarrestriction,piscivore
"β0_manage[4,4]",1.095,0.788,0.598,1.652,0.036,0.025,491.0,1031.0,1.0,Madagascarrestriction,planktivore
"β0_manage[4,5]",0.092,0.837,-0.526,0.589,0.037,0.026,508.0,1006.0,1.0,Madagascarrestriction,omnivore
"β0_manage[5,0]",1.112,1.03,0.327,1.696,0.041,0.029,621.0,1432.0,1.0,Solomon Islandsno-take,herbivore-detritivore
"β0_manage[5,1]",-0.179,1.156,-0.95,0.624,0.051,0.036,519.0,1326.0,1.0,Solomon Islandsno-take,herbivore-macroalgae
"β0_manage[5,2]",0.871,1.086,0.185,1.599,0.045,0.032,581.0,1034.0,1.0,Solomon Islandsno-take,invertivore-mobile
"β0_manage[5,3]",0.553,1.106,-0.054,1.368,0.045,0.032,600.0,1112.0,1.0,Solomon Islandsno-take,piscivore
"β0_manage[5,4]",1.606,1.044,1.109,2.451,0.04,0.029,668.0,1315.0,1.0,Solomon Islandsno-take,planktivore
"β0_manage[5,5]",0.47,1.097,-0.207,1.209,0.042,0.03,684.0,1423.0,1.0,Solomon Islandsno-take,omnivore
"β0_manage[6,0]",1.057,0.805,0.523,1.604,0.039,0.028,417.0,779.0,1.01,Solomon Islandsrestriction,herbivore-detritivore
